"V1","V2","V3","V4"
"MultipleDataSplitting","8","0","0.88"
"Knockoff","8","0.153846153846154","0.88"
"BH","8","0","0.84"
"LinReg DS","8","0.0434782608695652","0.88"
"LinReg MS","8","0.148148148148148","0.92"
"DataSplitting","8","0.2","0.96"
"MultipleDataSplitting","8","0.04","0.96"
"Knockoff","8","0.0769230769230769","0.96"
"BH","8","0","0.92"
"LinReg DS","8","0.208333333333333","0.76"
"LinReg MS","8","0","0.76"
"DataSplitting","8","0","0.88"
"MultipleDataSplitting","8","0","0.8"
"Knockoff","8","0","0.88"
"BH","8","0","0.84"
"LinReg DS","8","0.1","0.72"
"LinReg MS","8","0","0.72"
"DataSplitting","8","0.0434782608695652","0.88"
"MultipleDataSplitting","8","0","0.84"
"Knockoff","8","0","0.88"
"BH","8","0","0.76"
"LinReg DS","8","0.0769230769230769","0.48"
"LinReg MS","8","0","0.72"
"DataSplitting","8","0.32258064516129","0.84"
"MultipleDataSplitting","8","0.125","0.84"
"Knockoff","8","0.34375","0.84"
"BH","8","0","0.8"
"LinReg DS","8","0.0476190476190476","0.8"
"LinReg MS","8","0","0.88"
"DataSplitting","8","0.08","0.92"
"MultipleDataSplitting","8","0.0434782608695652","0.88"
"Knockoff","8","0","0.92"
"BH","8","0","0.92"
"LinReg DS","8","0.0952380952380952","0.76"
"LinReg MS","8","0","0.76"
"DataSplitting","8","0.0454545454545455","0.84"
"MultipleDataSplitting","8","0.0869565217391304","0.84"
"Knockoff","8","0.16","0.84"
"BH","8","0","0.8"
"LinReg DS","8","0.24","0.76"
"LinReg MS","8","0","0.8"
"DataSplitting","8","0.153846153846154","0.88"
"MultipleDataSplitting","8","0.0833333333333333","0.88"
"Knockoff","8","0.0434782608695652","0.88"
"BH","8","0","0.84"
"LinReg DS","8","0","0.72"
"LinReg MS","8","0.0526315789473684","0.72"
"DataSplitting","8","0.0769230769230769","0.96"
"MultipleDataSplitting","8","0.0769230769230769","0.96"
"Knockoff","8","0.148148148148148","0.92"
"BH","8","0","0.8"
"LinReg DS","8","0.105263157894737","0.68"
"LinReg MS","8","0.0952380952380952","0.76"
"DataSplitting","8","0","0.76"
"MultipleDataSplitting","8","0.0952380952380952","0.76"
"Knockoff","8","0.173913043478261","0.76"
"BH","8","0","0.72"
"LinReg DS","8","0.0434782608695652","0.88"
"LinReg MS","8","0","0.92"
"DataSplitting","8","0","0.92"
"MultipleDataSplitting","8","0","0.92"
"Knockoff","8","0","0.92"
"BH","8","0","0.92"
"LinReg DS","9","0.1","0.72"
"LinReg MS","9","0","0.76"
"DataSplitting","9","0.178571428571429","0.92"
"MultipleDataSplitting","9","0.0869565217391304","0.84"
"Knockoff","9","0.153846153846154","0.88"
"BH","9","0","0.8"
"LinReg DS","9","0.0869565217391304","0.84"
"LinReg MS","9","0.0454545454545455","0.84"
"DataSplitting","9","0.153846153846154","0.88"
"MultipleDataSplitting","9","0","0.88"
"Knockoff","9","0.12","0.88"
"BH","9","0","0.88"
"LinReg DS","9","0.136363636363636","0.76"
"LinReg MS","9","0","0.8"
"DataSplitting","9","0","0.84"
"MultipleDataSplitting","9","0.0454545454545455","0.84"
"Knockoff","9","0.0869565217391304","0.84"
"BH","9","0","0.84"
"LinReg DS","9","0.0952380952380952","0.76"
"LinReg MS","9","0.0454545454545455","0.84"
"DataSplitting","9","0.0833333333333333","0.88"
"MultipleDataSplitting","9","0.0454545454545455","0.84"
"Knockoff","9","0.0833333333333333","0.88"
"BH","9","0","0.84"
"LinReg DS","9","0.0833333333333333","0.88"
"LinReg MS","9","0","0.88"
"DataSplitting","9","0","0.88"
"MultipleDataSplitting","9","0","0.84"
"Knockoff","9","0","0.88"
"BH","9","0","0.88"
"LinReg DS","9","0.0952380952380952","0.76"
"LinReg MS","9","0","0.8"
"DataSplitting","9","0.125","0.84"
"MultipleDataSplitting","9","0.0454545454545455","0.84"
"Knockoff","9","0","0.84"
"BH","9","0","0.84"
"LinReg DS","9","0.333333333333333","0.88"
"LinReg MS","9","0","0.88"
"DataSplitting","9","0.25","0.96"
"MultipleDataSplitting","9","0.111111111111111","0.96"
"Knockoff","9","0.04","0.96"
"BH","9","0","0.96"
"LinReg DS","9","0.142857142857143","0.72"
"LinReg MS","9","0","0.76"
"DataSplitting","9","0.08","0.92"
"MultipleDataSplitting","9","0","0.88"
"Knockoff","9","0","0.92"
"BH","9","0","0.84"
"LinReg DS","9","0.0952380952380952","0.76"
"LinReg MS","9","0","0.8"
"DataSplitting","9","0.125","0.84"
"MultipleDataSplitting","9","0.0869565217391304","0.84"
"Knockoff","9","0.275862068965517","0.84"
"BH","9","0","0.8"
"LinReg DS","9","0.05","0.76"
"LinReg MS","9","0.125","0.84"
"DataSplitting","9","0.0454545454545455","0.84"
"MultipleDataSplitting","9","0","0.84"
"Knockoff","9","0.0454545454545455","0.84"
"BH","9","0","0.84"
"LinReg DS","9","0","0.6"
"LinReg MS","9","0","0.72"
"DataSplitting","9","0.192307692307692","0.84"
"MultipleDataSplitting","9","0","0.8"
"Knockoff","9","0.192307692307692","0.84"
"BH","9","0","0.76"
"LinReg DS","9","0.0434782608695652","0.88"
"LinReg MS","9","0","0.84"
"DataSplitting","9","0.115384615384615","0.92"
"MultipleDataSplitting","9","0","0.88"
"Knockoff","9","0.08","0.92"
"BH","9","0","0.92"
"LinReg DS","9","0.0869565217391304","0.84"
"LinReg MS","9","0","0.8"
"DataSplitting","9","0.0454545454545455","0.84"
"MultipleDataSplitting","9","0","0.84"
"Knockoff","9","0","0.84"
"BH","9","0","0.8"
"LinReg DS","9","0.0869565217391304","0.84"
"LinReg MS","9","0","0.84"
"DataSplitting","9","0","0.84"
"MultipleDataSplitting","9","0","0.8"
"Knockoff","9","0","0.84"
"BH","9","0","0.84"
"LinReg DS","9","0.08","0.92"
"LinReg MS","9","0.178571428571429","0.92"
"DataSplitting","9","0","0.96"
"MultipleDataSplitting","9","0","0.88"
"Knockoff","9","0","0.92"
"BH","9","0","0.88"
"LinReg DS","9","0","0.72"
"LinReg MS","9","0","0.76"
"DataSplitting","9","0.148148148148148","0.92"
"MultipleDataSplitting","9","0.148148148148148","0.92"
"Knockoff","9","0.115384615384615","0.92"
"BH","9","0.0416666666666667","0.92"
"LinReg DS","9","0","0.76"
"LinReg MS","9","0.172413793103448","0.96"
"DataSplitting","9","0","0.96"
"MultipleDataSplitting","9","0","0.96"
"Knockoff","9","0","0.96"
"BH","9","0","0.92"
"LinReg DS","9","0.0454545454545455","0.84"
"LinReg MS","9","0","0.84"
"DataSplitting","9","0.04","0.96"
"MultipleDataSplitting","9","0.0769230769230769","0.96"
"Knockoff","9","0.04","0.96"
"BH","9","0.0434782608695652","0.88"
"LinReg DS","9","0","0.72"
"LinReg MS","9","0","0.8"
"DataSplitting","9","0.0434782608695652","0.88"
"MultipleDataSplitting","9","0","0.84"
"Knockoff","9","0","0.88"
"BH","9","0","0.84"
"LinReg DS","9","0.0833333333333333","0.88"
"LinReg MS","9","0","0.84"
"DataSplitting","9","0.0416666666666667","0.92"
"MultipleDataSplitting","9","0.0434782608695652","0.88"
"Knockoff","9","0.0416666666666667","0.92"
"BH","9","0.0416666666666667","0.92"
"LinReg DS","9","0.19047619047619","0.68"
"LinReg MS","9","0","0.76"
"DataSplitting","9","0.28125","0.92"
"MultipleDataSplitting","9","0.115384615384615","0.92"
"Knockoff","9","0.178571428571429","0.92"
"BH","9","0","0.84"
"LinReg DS","9","0","0.72"
"LinReg MS","9","0.0909090909090909","0.8"
"DataSplitting","9","0","0.92"
"MultipleDataSplitting","9","0","0.88"
"Knockoff","9","0","0.92"
"BH","9","0","0.8"
"LinReg DS","9","0.0526315789473684","0.72"
"LinReg MS","9","0.0526315789473684","0.72"
"DataSplitting","9","0","0.76"
"MultipleDataSplitting","9","0.0476190476190476","0.8"
"Knockoff","9","0","0.76"
"BH","9","0","0.72"
"LinReg DS","9","0","0.88"
"LinReg MS","9","0","0.88"
"DataSplitting","9","0.153846153846154","0.88"
"MultipleDataSplitting","9","0","0.88"
"Knockoff","9","0.153846153846154","0.88"
"BH","9","0","0.88"
"LinReg DS","9","0","0.68"
"LinReg MS","9","0","0.8"
"DataSplitting","9","0.148148148148148","0.92"
"MultipleDataSplitting","9","0","0.88"
"Knockoff","9","0.0416666666666667","0.92"
"BH","9","0","0.92"
"LinReg DS","9","0.0869565217391304","0.84"
"LinReg MS","9","0","0.84"
"DataSplitting","9","0","0.84"
"MultipleDataSplitting","9","0","0.88"
"Knockoff","9","0","0.84"
"BH","9","0","0.84"
"LinReg DS","9","0.05","0.76"
"LinReg MS","9","0","0.88"
"DataSplitting","9","0","0.92"
"MultipleDataSplitting","9","0","0.88"
"Knockoff","9","0","0.92"
"BH","9","0","0.92"
"LinReg DS","9","0.16","0.84"
"LinReg MS","9","0","0.76"
"DataSplitting","9","0.115384615384615","0.92"
"MultipleDataSplitting","9","0","0.88"
"Knockoff","9","0.12","0.88"
"BH","9","0","0.84"
"LinReg DS","9","0.2","0.8"
"LinReg MS","9","0","0.8"
"DataSplitting","9","0.0434782608695652","0.88"
"MultipleDataSplitting","9","0.0434782608695652","0.88"
"Knockoff","9","0.0833333333333333","0.88"
"BH","9","0","0.88"
"LinReg DS","9","0","0.72"
"LinReg MS","9","0","0.84"
"DataSplitting","9","0.107142857142857","1"
"MultipleDataSplitting","9","0","1"
"Knockoff","9","0.0740740740740741","1"
"BH","9","0","0.96"
"LinReg DS","9","0.1","0.72"
"LinReg MS","9","0.125","0.84"
"DataSplitting","9","0.185185185185185","0.88"
"MultipleDataSplitting","9","0.12","0.88"
"Knockoff","9","0.0833333333333333","0.88"
"BH","9","0.0454545454545455","0.84"
"LinReg DS","9","0.1","0.72"
"LinReg MS","9","0","0.8"
"DataSplitting","9","0.0476190476190476","0.8"
"MultipleDataSplitting","9","0","0.8"
"Knockoff","9","0.0476190476190476","0.8"
"BH","9","0","0.8"
"LinReg DS","9","0.16","0.84"
"LinReg MS","9","0","0.84"
"DataSplitting","9","0.0416666666666667","0.92"
"MultipleDataSplitting","9","0","0.84"
"Knockoff","9","0.0416666666666667","0.92"
"BH","9","0","0.88"
"LinReg DS","9","0.0909090909090909","0.8"
"LinReg MS","9","0","0.72"
"DataSplitting","9","0.2","0.8"
"MultipleDataSplitting","9","0.0476190476190476","0.8"
"Knockoff","9","0.230769230769231","0.8"
"BH","9","0","0.76"
"LinReg DS","9","0.266666666666667","0.88"
"LinReg MS","9","0.0769230769230769","0.96"
"DataSplitting","9","0.0740740740740741","1"
"MultipleDataSplitting","9","0","0.96"
"Knockoff","9","0.04","0.96"
"BH","9","0","0.96"
"LinReg DS","9","0.115384615384615","0.92"
"LinReg MS","9","0","0.96"
"DataSplitting","9","0.04","0.96"
"MultipleDataSplitting","9","0","0.92"
"Knockoff","9","0","0.96"
"BH","9","0","0.96"
"LinReg DS","9","0.16","0.84"
"LinReg MS","9","0","0.84"
"DataSplitting","9","0.0434782608695652","0.88"
"MultipleDataSplitting","9","0.0833333333333333","0.88"
"Knockoff","9","0.206896551724138","0.92"
"BH","9","0","0.8"
"LinReg DS","9","0.19047619047619","0.68"
"LinReg MS","9","0","0.68"
"DataSplitting","9","0.0869565217391304","0.84"
"MultipleDataSplitting","9","0.0454545454545455","0.84"
"Knockoff","9","0.0454545454545455","0.84"
"BH","9","0","0.84"
"LinReg DS","9","0.0416666666666667","0.92"
"LinReg MS","9","0","0.88"
"DataSplitting","9","0.0416666666666667","0.92"
"MultipleDataSplitting","9","0.0434782608695652","0.88"
"Knockoff","9","0.0769230769230769","0.96"
"BH","9","0","0.88"
"LinReg DS","9","0.1","0.72"
"LinReg MS","9","0","0.8"
"DataSplitting","9","0.153846153846154","0.88"
"MultipleDataSplitting","9","0","0.88"
"Knockoff","9","0.153846153846154","0.88"
"BH","9","0","0.84"
"LinReg DS","9","0.0434782608695652","0.88"
"LinReg MS","9","0.0769230769230769","0.96"
"DataSplitting","9","0.2","0.96"
"MultipleDataSplitting","9","0.04","0.96"
"Knockoff","9","0.0384615384615385","1"
"BH","9","0","0.92"
"LinReg DS","9","0.2","0.8"
"LinReg MS","9","0","0.8"
"DataSplitting","9","0","0.88"
"MultipleDataSplitting","9","0","0.8"
"Knockoff","9","0","0.88"
"BH","9","0","0.84"
"LinReg DS","9","0","0.72"
"LinReg MS","9","0","0.72"
"DataSplitting","9","0","0.88"
"MultipleDataSplitting","9","0","0.84"
"Knockoff","9","0","0.88"
"BH","9","0","0.8"
"LinReg DS","9","0.0588235294117647","0.64"
"LinReg MS","9","0","0.72"
"DataSplitting","9","0.333333333333333","0.88"
"MultipleDataSplitting","9","0.125","0.84"
"Knockoff","9","0.3125","0.88"
"BH","9","0","0.8"
"LinReg DS","9","0.0454545454545455","0.84"
"LinReg MS","9","0","0.92"
"DataSplitting","9","0.115384615384615","0.92"
"MultipleDataSplitting","9","0","0.92"
"Knockoff","9","0","0.92"
"BH","9","0","0.92"
"LinReg DS","9","0.0952380952380952","0.76"
"LinReg MS","9","0","0.76"
"DataSplitting","9","0.0454545454545455","0.84"
"MultipleDataSplitting","9","0.0869565217391304","0.84"
"Knockoff","9","0.16","0.84"
"BH","9","0","0.84"
"LinReg DS","9","0.214285714285714","0.88"
"LinReg MS","9","0","0.84"
"DataSplitting","9","0.153846153846154","0.88"
"MultipleDataSplitting","9","0.0833333333333333","0.88"
"Knockoff","9","0.0434782608695652","0.88"
"BH","9","0","0.88"
"LinReg DS","9","0","0.72"
"LinReg MS","9","0.05","0.76"
"DataSplitting","9","0.0769230769230769","0.96"
"MultipleDataSplitting","9","0.0769230769230769","0.96"
"Knockoff","9","0.148148148148148","0.92"
"BH","9","0","0.92"
"LinReg DS","9","0.1","0.72"
"LinReg MS","9","0","0.76"
"DataSplitting","9","0","0.8"
"MultipleDataSplitting","9","0","0.8"
"Knockoff","9","0.166666666666667","0.8"
"BH","9","0","0.76"
"LinReg DS","9","0.0434782608695652","0.88"
"LinReg MS","9","0","0.92"
"DataSplitting","9","0","0.92"
"MultipleDataSplitting","9","0","0.92"
"Knockoff","9","0","0.92"
"BH","9","0","0.92"
"LinReg DS","10","0.1","0.72"
"LinReg MS","10","0","0.76"
"DataSplitting","10","0.178571428571429","0.92"
"MultipleDataSplitting","10","0.0434782608695652","0.88"
"Knockoff","10","0.148148148148148","0.92"
"BH","10","0","0.84"
"LinReg DS","10","0.0869565217391304","0.84"
"LinReg MS","10","0.0454545454545455","0.84"
"DataSplitting","10","0.12","0.88"
"MultipleDataSplitting","10","0","0.88"
"Knockoff","10","0.12","0.88"
"BH","10","0","0.88"
"LinReg DS","10","0.130434782608696","0.8"
"LinReg MS","10","0","0.84"
"DataSplitting","10","0","0.84"
"MultipleDataSplitting","10","0.0454545454545455","0.84"
"Knockoff","10","0.0869565217391304","0.84"
"BH","10","0","0.84"
"LinReg DS","10","0.0952380952380952","0.76"
"LinReg MS","10","0","0.88"
"DataSplitting","10","0.0833333333333333","0.88"
"MultipleDataSplitting","10","0","0.88"
"Knockoff","10","0.0833333333333333","0.88"
"BH","10","0","0.84"
"LinReg DS","10","0.0833333333333333","0.88"
"LinReg MS","10","0","0.84"
"DataSplitting","10","0.0434782608695652","0.88"
"MultipleDataSplitting","10","0","0.84"
"Knockoff","10","0","0.88"
"BH","10","0","0.88"
"LinReg DS","10","0.192307692307692","0.84"
"LinReg MS","10","0","0.84"
"DataSplitting","10","0.125","0.84"
"MultipleDataSplitting","10","0.0454545454545455","0.84"
"Knockoff","10","0","0.84"
"BH","10","0","0.84"
"LinReg DS","10","0.333333333333333","0.88"
"LinReg MS","10","0","0.92"
"DataSplitting","10","0.25","0.96"
"MultipleDataSplitting","10","0.111111111111111","0.96"
"Knockoff","10","0.04","0.96"
"BH","10","0","0.96"
"LinReg DS","10","0.142857142857143","0.72"
"LinReg MS","10","0","0.8"
"DataSplitting","10","0.08","0.92"
"MultipleDataSplitting","10","0","0.92"
"Knockoff","10","0","0.92"
"BH","10","0","0.92"
"LinReg DS","10","0.0952380952380952","0.76"
"LinReg MS","10","0","0.8"
"DataSplitting","10","0.125","0.84"
"MultipleDataSplitting","10","0.125","0.84"
"Knockoff","10","0.266666666666667","0.88"
"BH","10","0","0.8"
"LinReg DS","10","0.05","0.76"
"LinReg MS","10","0.125","0.84"
"DataSplitting","10","0.0454545454545455","0.84"
"MultipleDataSplitting","10","0","0.84"
"Knockoff","10","0.0454545454545455","0.84"
"BH","10","0","0.84"
"LinReg DS","10","0","0.6"
"LinReg MS","10","0","0.72"
"DataSplitting","10","0.192307692307692","0.84"
"MultipleDataSplitting","10","0","0.84"
"Knockoff","10","0.192307692307692","0.84"
"BH","10","0","0.76"
"LinReg DS","10","0.0434782608695652","0.88"
"LinReg MS","10","0","0.84"
"DataSplitting","10","0.115384615384615","0.92"
"MultipleDataSplitting","10","0","0.88"
"Knockoff","10","0.0416666666666667","0.92"
"BH","10","0","0.92"
"LinReg DS","10","0.0869565217391304","0.84"
"LinReg MS","10","0","0.8"
"DataSplitting","10","0.0434782608695652","0.88"
"MultipleDataSplitting","10","0","0.88"
"Knockoff","10","0","0.84"
"BH","10","0","0.8"
"LinReg DS","10","0.0869565217391304","0.84"
"LinReg MS","10","0","0.84"
"DataSplitting","10","0","0.84"
"MultipleDataSplitting","10","0","0.8"
"Knockoff","10","0","0.88"
"BH","10","0","0.84"
"LinReg DS","10","0.08","0.92"
"LinReg MS","10","0.178571428571429","0.92"
"DataSplitting","10","0","0.96"
"MultipleDataSplitting","10","0","0.88"
"Knockoff","10","0","0.92"
"BH","10","0","0.88"
"LinReg DS","10","0","0.8"
"LinReg MS","10","0","0.8"
"DataSplitting","10","0.2","0.96"
"MultipleDataSplitting","10","0.148148148148148","0.92"
"Knockoff","10","0.115384615384615","0.92"
"BH","10","0.0416666666666667","0.92"
"LinReg DS","10","0","0.84"
"LinReg MS","10","0.142857142857143","0.96"
"DataSplitting","10","0","0.96"
"MultipleDataSplitting","10","0","0.92"
"Knockoff","10","0","0.96"
"BH","10","0","0.96"
"LinReg DS","10","0.0434782608695652","0.88"
"LinReg MS","10","0","0.84"
"DataSplitting","10","0.04","0.96"
"MultipleDataSplitting","10","0.04","0.96"
"Knockoff","10","0.04","0.96"
"BH","10","0.04","0.96"
"LinReg DS","10","0.0476190476190476","0.8"
"LinReg MS","10","0","0.84"
"DataSplitting","10","0.0833333333333333","0.88"
"MultipleDataSplitting","10","0","0.84"
"Knockoff","10","0","0.88"
"BH","10","0","0.84"
"LinReg DS","10","0.0833333333333333","0.88"
"LinReg MS","10","0","0.84"
"DataSplitting","10","0.0416666666666667","0.92"
"MultipleDataSplitting","10","0.0434782608695652","0.88"
"Knockoff","10","0.0416666666666667","0.92"
"BH","10","0.0416666666666667","0.92"
"LinReg DS","10","0.173913043478261","0.76"
"LinReg MS","10","0","0.76"
"DataSplitting","10","0.28125","0.92"
"MultipleDataSplitting","10","0.115384615384615","0.92"
"Knockoff","10","0.2","0.96"
"BH","10","0","0.88"
"LinReg DS","10","0.05","0.76"
"LinReg MS","10","0.0869565217391304","0.84"
"DataSplitting","10","0","0.92"
"MultipleDataSplitting","10","0","0.88"
"Knockoff","10","0","0.92"
"BH","10","0","0.8"
"LinReg DS","10","0.0526315789473684","0.72"
"LinReg MS","10","0.0526315789473684","0.72"
"DataSplitting","10","0","0.76"
"MultipleDataSplitting","10","0.0909090909090909","0.8"
"Knockoff","10","0","0.76"
"BH","10","0","0.72"
"LinReg DS","10","0","0.88"
"LinReg MS","10","0","0.88"
"DataSplitting","10","0.153846153846154","0.88"
"MultipleDataSplitting","10","0","0.88"
"Knockoff","10","0.12","0.88"
"BH","10","0","0.88"
"LinReg DS","10","0.0869565217391304","0.84"
"LinReg MS","10","0","0.88"
"DataSplitting","10","0.148148148148148","0.92"
"MultipleDataSplitting","10","0","0.88"
"Knockoff","10","0.0416666666666667","0.92"
"BH","10","0","0.92"
"LinReg DS","10","0.0869565217391304","0.84"
"LinReg MS","10","0","0.84"
"DataSplitting","10","0","0.84"
"MultipleDataSplitting","10","0","0.88"
"Knockoff","10","0","0.84"
"BH","10","0","0.84"
"LinReg DS","10","0.0476190476190476","0.8"
"LinReg MS","10","0","0.88"
"DataSplitting","10","0","0.92"
"MultipleDataSplitting","10","0","0.88"
"Knockoff","10","0","0.96"
"BH","10","0","0.92"
"LinReg DS","10","0.153846153846154","0.88"
"LinReg MS","10","0","0.8"
"DataSplitting","10","0.111111111111111","0.96"
"MultipleDataSplitting","10","0","0.92"
"Knockoff","10","0.148148148148148","0.92"
"BH","10","0","0.88"
"LinReg DS","10","0.230769230769231","0.8"
