"seed","Method","Delta","FDP","Power"
27,"Benjamini–Hochberg (BH)",10,0,0.92
28,"Boost DS",10,0.12,0.88
28,"Boost MS",10,0.185185185185185,0.88
28,"DataSplitting",10,0.115384615384615,0.92
28,"MultipleDataSplitting",10,0,0.92
28,"Knockoff",10,0,0.92
28,"Benjamini–Hochberg (BH)",10,0,0.92
29,"Boost DS",10,0.0869565217391304,0.84
29,"Boost MS",10,0,0.8
29,"DataSplitting",10,0.0869565217391304,0.84
29,"MultipleDataSplitting",10,0,0.84
29,"Knockoff",10,0,0.84
29,"Benjamini–Hochberg (BH)",10,0,0.84
30,"Boost DS",10,0.153846153846154,0.88
30,"Boost MS",10,0,0.8
30,"DataSplitting",10,0.08,0.92
30,"MultipleDataSplitting",10,0.115384615384615,0.92
30,"Knockoff",10,0.225806451612903,0.96
30,"Benjamini–Hochberg (BH)",10,0,0.88
31,"Boost DS",10,0,0.84
31,"Boost MS",10,0.0416666666666667,0.92
31,"DataSplitting",10,0,0.92
31,"MultipleDataSplitting",10,0,0.88
31,"Knockoff",10,0,0.92
31,"Benjamini–Hochberg (BH)",10,0,0.88
32,"Boost DS",10,0.0454545454545455,0.84
32,"Boost MS",10,0,0.8
32,"DataSplitting",10,0,0.84
32,"MultipleDataSplitting",10,0.0454545454545455,0.84
32,"Knockoff",10,0.192307692307692,0.84
32,"Benjamini–Hochberg (BH)",10,0,0.84
33,"Boost DS",10,0,0.72
33,"Boost MS",10,0.1,0.72
33,"DataSplitting",10,0.0909090909090909,0.8
33,"MultipleDataSplitting",10,0,0.8
33,"Knockoff",10,0.130434782608696,0.8
33,"Benjamini–Hochberg (BH)",10,0,0.8
34,"Boost DS",10,0,0.88
34,"Boost MS",10,0.115384615384615,0.92
34,"DataSplitting",10,0.0416666666666667,0.92
34,"MultipleDataSplitting",10,0,0.92
34,"Knockoff",10,0.115384615384615,0.92
34,"Benjamini–Hochberg (BH)",10,0,0.92
35,"Boost DS",10,0.193548387096774,1
35,"Boost MS",10,0,0.96
35,"DataSplitting",10,0.21875,1
35,"MultipleDataSplitting",10,0.0769230769230769,0.96
35,"Knockoff",10,0.04,0.96
35,"Benjamini–Hochberg (BH)",10,0,0.96
36,"Boost DS",10,0.153846153846154,0.88
36,"Boost MS",10,0,0.88
36,"DataSplitting",10,0,0.92
36,"MultipleDataSplitting",10,0,0.88
36,"Knockoff",10,0.111111111111111,0.96
36,"Benjamini–Hochberg (BH)",10,0,0.92
37,"Boost DS",10,0.0869565217391304,0.84
37,"Boost MS",10,0,0.84
37,"DataSplitting",10,0.111111111111111,0.96
37,"MultipleDataSplitting",10,0,0.92
37,"Knockoff",10,0.111111111111111,0.96
37,"Benjamini–Hochberg (BH)",10,0,0.88
38,"Boost DS",10,0.130434782608696,0.8
38,"Boost MS",10,0.0869565217391304,0.84
38,"DataSplitting",10,0.0869565217391304,0.84
38,"MultipleDataSplitting",10,0.0434782608695652,0.88
38,"Knockoff",10,0.12,0.88
38,"Benjamini–Hochberg (BH)",10,0,0.84
39,"Boost DS",10,0.24,0.76
39,"Boost MS",10,0.0454545454545455,0.84
39,"DataSplitting",10,0.0434782608695652,0.88
39,"MultipleDataSplitting",10,0,0.88
39,"Knockoff",10,0.0833333333333333,0.88
39,"Benjamini–Hochberg (BH)",10,0,0.8
40,"Boost DS",10,0.130434782608696,0.8
40,"Boost MS",10,0,0.84
40,"DataSplitting",10,0,0.84
40,"MultipleDataSplitting",10,0,0.84
40,"Knockoff",10,0,0.84
40,"Benjamini–Hochberg (BH)",10,0,0.84
41,"Boost DS",10,0.0833333333333333,0.88
41,"Boost MS",10,0,0.88
41,"DataSplitting",10,0.08,0.92
41,"MultipleDataSplitting",10,0,0.88
41,"Knockoff",10,0,0.92
41,"Benjamini–Hochberg (BH)",10,0,0.92
42,"Boost DS",10,0,0.72
42,"Boost MS",10,0,0.72
42,"DataSplitting",10,0.0434782608695652,0.88
42,"MultipleDataSplitting",10,0,0.84
42,"Knockoff",10,0.0434782608695652,0.88
42,"Benjamini–Hochberg (BH)",10,0,0.84
43,"Boost DS",10,0.0416666666666667,0.92
43,"Boost MS",10,0,0.88
43,"DataSplitting",10,0.04,0.96
43,"MultipleDataSplitting",10,0,0.88
43,"Knockoff",10,0.0769230769230769,0.96
43,"Benjamini–Hochberg (BH)",10,0,0.96
44,"Boost DS",10,0.05,0.76
44,"Boost MS",10,0,0.8
44,"DataSplitting",10,0.0869565217391304,0.84
44,"MultipleDataSplitting",10,0,0.84
44,"Knockoff",10,0.0454545454545455,0.84
44,"Benjamini–Hochberg (BH)",10,0,0.84
45,"Boost DS",10,0.0454545454545455,0.84
45,"Boost MS",10,0,0.88
45,"DataSplitting",10,0,0.88
45,"MultipleDataSplitting",10,0,0.84
45,"Knockoff",10,0.0434782608695652,0.88
45,"Benjamini–Hochberg (BH)",10,0,0.88
46,"Boost DS",10,0.0434782608695652,0.88
46,"Boost MS",10,0,0.88
46,"DataSplitting",10,0.12,0.88
46,"MultipleDataSplitting",10,0,0.84
46,"Knockoff",10,0,0.88
46,"Benjamini–Hochberg (BH)",10,0,0.88
47,"Boost DS",10,0.0909090909090909,0.8
47,"Boost MS",10,0,0.84
47,"DataSplitting",10,0.0434782608695652,0.88
47,"MultipleDataSplitting",10,0,0.84
47,"Knockoff",10,0,0.88
47,"Benjamini–Hochberg (BH)",10,0,0.84
48,"Boost DS",10,0.303030303030303,0.92
48,"Boost MS",10,0.0416666666666667,0.92
48,"DataSplitting",10,0.0416666666666667,0.92
48,"MultipleDataSplitting",10,0,0.88
48,"Knockoff",10,0.115384615384615,0.92
48,"Benjamini–Hochberg (BH)",10,0,0.92
49,"Boost DS",10,0.166666666666667,0.8
49,"Boost MS",10,0.0454545454545455,0.84
49,"DataSplitting",10,0,0.8
49,"MultipleDataSplitting",10,0,0.88
49,"Knockoff",10,0.0434782608695652,0.88
49,"Benjamini–Hochberg (BH)",10,0,0.84
50,"Boost DS",10,0.0454545454545455,0.84
50,"Boost MS",10,0.241379310344828,0.88
50,"DataSplitting",10,0.04,0.96
50,"MultipleDataSplitting",10,0,0.96
50,"Knockoff",10,0.04,0.96
50,"Benjamini–Hochberg (BH)",10,0,0.96
1,"Boost DS",11,0.08,0.92
1,"Boost MS",11,0,0.92
1,"DataSplitting",11,0.148148148148148,0.92
1,"MultipleDataSplitting",11,0,0.92
1,"Knockoff",11,0.178571428571429,0.92
1,"Benjamini–Hochberg (BH)",11,0,0.92
2,"Boost DS",11,0,0.76
2,"Boost MS",11,0,0.76
2,"DataSplitting",11,0,0.88
2,"MultipleDataSplitting",11,0.0434782608695652,0.88
2,"Knockoff",11,0.12,0.88
2,"Benjamini–Hochberg (BH)",11,0,0.88
3,"Boost DS",11,0.16,0.84
3,"Boost MS",11,0.0416666666666667,0.92
3,"DataSplitting",11,0.115384615384615,0.92
3,"MultipleDataSplitting",11,0,0.92
3,"Knockoff",11,0.0416666666666667,0.92
3,"Benjamini–Hochberg (BH)",11,0,0.92
4,"Boost DS",11,0.115384615384615,0.92
4,"Boost MS",11,0,0.92
4,"DataSplitting",11,0.0416666666666667,0.92
4,"MultipleDataSplitting",11,0,0.92
4,"Knockoff",11,0.0416666666666667,0.92
4,"Benjamini–Hochberg (BH)",11,0,0.92
5,"Boost DS",11,0.05,0.76
5,"Boost MS",11,0,0.76
5,"DataSplitting",11,0.0909090909090909,0.8
5,"MultipleDataSplitting",11,0,0.8
5,"Knockoff",11,0,0.8
5,"Benjamini–Hochberg (BH)",11,0,0.8
6,"Boost DS",11,0.12,0.88
6,"Boost MS",11,0,0.88
6,"DataSplitting",11,0,0.88
6,"MultipleDataSplitting",11,0,0.88
6,"Knockoff",11,0.0434782608695652,0.88
6,"Benjamini–Hochberg (BH)",11,0,0.88
7,"Boost DS",11,0,0.8
7,"Boost MS",11,0,0.76
7,"DataSplitting",11,0.0909090909090909,0.8
7,"MultipleDataSplitting",11,0.0476190476190476,0.8
7,"Knockoff",11,0.0454545454545455,0.84
7,"Benjamini–Hochberg (BH)",11,0,0.8
8,"Boost DS",11,0.0434782608695652,0.88
8,"Boost MS",11,0,0.88
8,"DataSplitting",11,0.233333333333333,0.92
8,"MultipleDataSplitting",11,0,0.88
8,"Knockoff",11,0.12,0.88
8,"Benjamini–Hochberg (BH)",11,0,0.88
9,"Boost DS",11,0.0909090909090909,0.8
9,"Boost MS",11,0,0.8
9,"DataSplitting",11,0.0869565217391304,0.84
9,"MultipleDataSplitting",11,0,0.88
9,"Knockoff",11,0,0.92
9,"Benjamini–Hochberg (BH)",11,0,0.84
10,"Boost DS",11,0.0416666666666667,0.92
10,"Boost MS",11,0,0.88
10,"DataSplitting",11,0.04,0.96
10,"MultipleDataSplitting",11,0,0.96
10,"Knockoff",11,0.166666666666667,1
10,"Benjamini–Hochberg (BH)",11,0,0.96
11,"Boost DS",11,0.0476190476190476,0.8
11,"Boost MS",11,0,0.8
11,"DataSplitting",11,0,0.88
11,"MultipleDataSplitting",11,0,0.88
11,"Knockoff",11,0.185185185185185,0.88
11,"Benjamini–Hochberg (BH)",11,0,0.88
12,"Boost DS",11,0,0.64
12,"Boost MS",11,0,0.76
12,"DataSplitting",11,0,0.76
12,"MultipleDataSplitting",11,0,0.72
12,"Knockoff",11,0.0952380952380952,0.76
12,"Benjamini–Hochberg (BH)",11,0,0.76
13,"Boost DS",11,0.04,0.96
13,"Boost MS",11,0,0.96
13,"DataSplitting",11,0.0384615384615385,1
13,"MultipleDataSplitting",11,0,0.92
13,"Knockoff",11,0.0384615384615385,1
13,"Benjamini–Hochberg (BH)",11,0,1
14,"Boost DS",11,0.25,0.96
14,"Boost MS",11,0.142857142857143,0.96
14,"DataSplitting",11,0,0.96
14,"MultipleDataSplitting",11,0,0.96
14,"Knockoff",11,0.04,0.96
14,"Benjamini–Hochberg (BH)",11,0,0.96
15,"Boost DS",11,0,0.92
15,"Boost MS",11,0,0.92
15,"DataSplitting",11,0.0769230769230769,0.96
15,"MultipleDataSplitting",11,0,0.92
15,"Knockoff",11,0,0.96
15,"Benjamini–Hochberg (BH)",11,0,0.96
16,"Boost DS",11,0.178571428571429,0.92
16,"Boost MS",11,0.0769230769230769,0.96
16,"DataSplitting",11,0.04,0.96
16,"MultipleDataSplitting",11,0,0.96
16,"Knockoff",11,0.04,0.96
16,"Benjamini–Hochberg (BH)",11,0,0.96
17,"Boost DS",11,0.0434782608695652,0.88
17,"Boost MS",11,0,0.88
17,"DataSplitting",11,0,0.92
17,"MultipleDataSplitting",11,0.0416666666666667,0.92
17,"Knockoff",11,0.0416666666666667,0.92
17,"Benjamini–Hochberg (BH)",11,0,0.92
18,"Boost DS",11,0,0.76
18,"Boost MS",11,0.0434782608695652,0.88
18,"DataSplitting",11,0.0416666666666667,0.92
18,"MultipleDataSplitting",11,0,0.88
18,"Knockoff",11,0,0.88
18,"Benjamini–Hochberg (BH)",11,0,0.88
19,"Boost DS",11,0.08,0.92
19,"Boost MS",11,0,0.96
19,"DataSplitting",11,0.111111111111111,0.96
19,"MultipleDataSplitting",11,0,0.96
19,"Knockoff",11,0.04,0.96
19,"Benjamini–Hochberg (BH)",11,0,0.96
20,"Boost DS",11,0.0869565217391304,0.84
20,"Boost MS",11,0,0.84
20,"DataSplitting",11,0,0.92
20,"MultipleDataSplitting",11,0,0.88
20,"Knockoff",11,0.08,0.92
20,"Benjamini–Hochberg (BH)",11,0,0.92
21,"Boost DS",11,0.25,0.96
21,"Boost MS",11,0.314285714285714,0.96
21,"DataSplitting",11,0,0.96
21,"MultipleDataSplitting",11,0.04,0.96
21,"Knockoff",11,0.0769230769230769,0.96
21,"Benjamini–Hochberg (BH)",11,0,0.96
22,"Boost DS",11,0.0434782608695652,0.88
22,"Boost MS",11,0,0.8
22,"DataSplitting",11,0,0.88
22,"MultipleDataSplitting",11,0,0.88
22,"Knockoff",11,0,0.88
22,"Benjamini–Hochberg (BH)",11,0,0.88
23,"Boost DS",11,0,0.72
23,"Boost MS",11,0,0.72
23,"DataSplitting",11,0.0909090909090909,0.8
23,"MultipleDataSplitting",11,0.0476190476190476,0.8
23,"Knockoff",11,0.0869565217391304,0.84
23,"Benjamini–Hochberg (BH)",11,0,0.8
24,"Boost DS",11,0.28125,0.92
24,"Boost MS",11,0.0434782608695652,0.88
24,"DataSplitting",11,0.0833333333333333,0.88
24,"MultipleDataSplitting",11,0.12,0.88
24,"Knockoff",11,0.115384615384615,0.92
24,"Benjamini–Hochberg (BH)",11,0.0416666666666667,0.92
25,"Boost DS",11,0.05,0.76
25,"Boost MS",11,0,0.8
25,"DataSplitting",11,0.0454545454545455,0.84
25,"MultipleDataSplitting",11,0,0.8
25,"Knockoff",11,0.0454545454545455,0.84
25,"Benjamini–Hochberg (BH)",11,0,0.8
26,"Boost DS",11,0.2,0.8
26,"Boost MS",11,0,0.8
26,"DataSplitting",11,0.153846153846154,0.88
26,"MultipleDataSplitting",11,0.0833333333333333,0.88
26,"Knockoff",11,0.0833333333333333,0.88
26,"Benjamini–Hochberg (BH)",11,0,0.84
27,"Boost DS",11,0.0416666666666667,0.92
27,"Boost MS",11,0,0.88
27,"DataSplitting",11,0.111111111111111,0.96
27,"MultipleDataSplitting",11,0.0416666666666667,0.92
27,"Knockoff",11,0.0769230769230769,0.96
27,"Benjamini–Hochberg (BH)",11,0,0.92
28,"Boost DS",11,0.12,0.88
28,"Boost MS",11,0.115384615384615,0.92
28,"DataSplitting",11,0.115384615384615,0.92
28,"MultipleDataSplitting",11,0.0416666666666667,0.92
28,"Knockoff",11,0,0.92
28,"Benjamini–Hochberg (BH)",11,0,0.92
29,"Boost DS",11,0.0869565217391304,0.84
29,"Boost MS",11,0,0.84
29,"DataSplitting",11,0.0869565217391304,0.84
29,"MultipleDataSplitting",11,0,0.84
29,"Knockoff",11,0,0.84
29,"Benjamini–Hochberg (BH)",11,0,0.84
30,"Boost DS",11,0.153846153846154,0.88
30,"Boost MS",11,0,0.8
30,"DataSplitting",11,0.0769230769230769,0.96
30,"MultipleDataSplitting",11,0.115384615384615,0.92
30,"Knockoff",11,0.225806451612903,0.96
30,"Benjamini–Hochberg (BH)",11,0,0.88
31,"Boost DS",11,0.185185185185185,0.88
31,"Boost MS",11,0.206896551724138,0.92
31,"DataSplitting",11,0,0.92
31,"MultipleDataSplitting",11,0,0.88
31,"Knockoff",11,0,0.92
31,"Benjamini–Hochberg (BH)",11,0,0.92
32,"Boost DS",11,0.0454545454545455,0.84
32,"Boost MS",11,0,0.8
32,"DataSplitting",11,0,0.84
32,"MultipleDataSplitting",11,0.0454545454545455,0.84
32,"Knockoff",11,0.192307692307692,0.84
32,"Benjamini–Hochberg (BH)",11,0,0.84
33,"Boost DS",11,0,0.72
33,"Boost MS",11,0,0.76
33,"DataSplitting",11,0.0909090909090909,0.8
33,"MultipleDataSplitting",11,0,0.8
33,"Knockoff",11,0.125,0.84
33,"Benjamini–Hochberg (BH)",11,0,0.8
34,"Boost DS",11,0,0.92
34,"Boost MS",11,0.08,0.92
34,"DataSplitting",11,0.0416666666666667,0.92
34,"MultipleDataSplitting",11,0,0.92
34,"Knockoff",11,0.115384615384615,0.92
34,"Benjamini–Hochberg (BH)",11,0,0.92
35,"Boost DS",11,0.193548387096774,1
35,"Boost MS",11,0,0.96
35,"DataSplitting",11,0.21875,1
35,"MultipleDataSplitting",11,0.0740740740740741,1
35,"Knockoff",11,0.0384615384615385,1
35,"Benjamini–Hochberg (BH)",11,0,1
36,"Boost DS",11,0.148148148148148,0.92
36,"Boost MS",11,0,0.88
36,"DataSplitting",11,0,0.96
36,"MultipleDataSplitting",11,0,0.92
36,"Knockoff",11,0.0769230769230769,0.96
36,"Benjamini–Hochberg (BH)",11,0,0.92
37,"Boost DS",11,0.0869565217391304,0.84
37,"Boost MS",11,0,0.88
37,"DataSplitting",11,0.111111111111111,0.96
37,"MultipleDataSplitting",11,0,0.96
37,"Knockoff",11,0.111111111111111,0.96
37,"Benjamini–Hochberg (BH)",11,0,0.88
38,"Boost DS",11,0.130434782608696,0.8
38,"Boost MS",11,0.0869565217391304,0.84
38,"DataSplitting",11,0.0434782608695652,0.88
38,"MultipleDataSplitting",11,0.0434782608695652,0.88
38,"Knockoff",11,0.12,0.88
38,"Benjamini–Hochberg (BH)",11,0,0.88
39,"Boost DS",11,0.208333333333333,0.76
39,"Boost MS",11,0,0.88
39,"DataSplitting",11,0.0434782608695652,0.88
39,"MultipleDataSplitting",11,0.0434782608695652,0.88
39,"Knockoff",11,0.0833333333333333,0.88
39,"Benjamini–Hochberg (BH)",11,0,0.88
40,"Boost DS",11,0.130434782608696,0.8
40,"Boost MS",11,0,0.84
40,"DataSplitting",11,0,0.84
40,"MultipleDataSplitting",11,0,0.84
40,"Knockoff",11,0,0.84
40,"Benjamini–Hochberg (BH)",11,0,0.84
41,"Boost DS",11,0.0833333333333333,0.88
41,"Boost MS",11,0,0.88
41,"DataSplitting",11,0.08,0.92
41,"MultipleDataSplitting",11,0,0.88
41,"Knockoff",11,0,0.92
41,"Benjamini–Hochberg (BH)",11,0,0.92
42,"Boost DS",11,0,0.8
42,"Boost MS",11,0,0.76
42,"DataSplitting",11,0,0.88
42,"MultipleDataSplitting",11,0,0.84
42,"Knockoff",11,0.0434782608695652,0.88
42,"Benjamini–Hochberg (BH)",11,0,0.88
43,"Boost DS",11,0.0416666666666667,0.92
43,"Boost MS",11,0,0.88
43,"DataSplitting",11,0.04,0.96
43,"MultipleDataSplitting",11,0,0.88
43,"Knockoff",11,0.04,0.96
43,"Benjamini–Hochberg (BH)",11,0,0.96
44,"Boost DS",11,0.130434782608696,0.8
44,"Boost MS",11,0,0.84
44,"DataSplitting",11,0.0869565217391304,0.84
44,"MultipleDataSplitting",11,0,0.84
44,"Knockoff",11,0.0454545454545455,0.84
44,"Benjamini–Hochberg (BH)",11,0,0.84
45,"Boost DS",11,0.0454545454545455,0.84
45,"Boost MS",11,0,0.88
45,"DataSplitting",11,0,0.88
45,"MultipleDataSplitting",11,0,0.88
45,"Knockoff",11,0.0416666666666667,0.92
45,"Benjamini–Hochberg (BH)",11,0,0.88
46,"Boost DS",11,0.0434782608695652,0.88
46,"Boost MS",11,0,0.88
46,"DataSplitting",11,0.115384615384615,0.92
46,"MultipleDataSplitting",11,0,0.84
46,"Knockoff",11,0,0.88
46,"Benjamini–Hochberg (BH)",11,0,0.88
47,"Boost DS",11,0.0909090909090909,0.8
47,"Boost MS",11,0,0.84
47,"DataSplitting",11,0.0434782608695652,0.88
47,"MultipleDataSplitting",11,0,0.84
47,"Knockoff",11,0,0.88
47,"Benjamini–Hochberg (BH)",11,0,0.88
48,"Boost DS",11,0.28125,0.92
48,"Boost MS",11,0.08,0.92
48,"DataSplitting",11,0.08,0.92
48,"MultipleDataSplitting",11,0,0.88
48,"Knockoff",11,0.115384615384615,0.92
48,"Benjamini–Hochberg (BH)",11,0,0.92
49,"Boost DS",11,0.130434782608696,0.8
49,"Boost MS",11,0.0833333333333333,0.88
49,"DataSplitting",11,0,0.84
49,"MultipleDataSplitting",11,0,0.88
49,"Knockoff",11,0.0434782608695652,0.88
49,"Benjamini–Hochberg (BH)",11,0,0.84
50,"Boost DS",11,0.0434782608695652,0.88
50,"Boost MS",11,0.0769230769230769,0.96
50,"DataSplitting",11,0.04,0.96
50,"MultipleDataSplitting",11,0,0.96
50,"Knockoff",11,0.04,0.96
50,"Benjamini–Hochberg (BH)",11,0,0.96
1,"Boost DS",12,0.08,0.92
1,"Boost MS",12,0,0.92
1,"DataSplitting",12,0.148148148148148,0.92
1,"MultipleDataSplitting",12,0,0.92
1,"Knockoff",12,0.178571428571429,0.92
1,"Benjamini–Hochberg (BH)",12,0,0.92
2,"Boost DS",12,0,0.76
2,"Boost MS",12,0,0.8
2,"DataSplitting",12,0,0.88
2,"MultipleDataSplitting",12,0.0434782608695652,0.88
2,"Knockoff",12,0.12,0.88
2,"Benjamini–Hochberg (BH)",12,0,0.88
3,"Boost DS",12,0.153846153846154,0.88
3,"Boost MS",12,0.148148148148148,0.92
3,"DataSplitting",12,0.115384615384615,0.92
3,"MultipleDataSplitting",12,0,0.92
3,"Knockoff",12,0.0416666666666667,0.92
3,"Benjamini–Hochberg (BH)",12,0,0.92
4,"Boost DS",12,0.115384615384615,0.92
4,"Boost MS",12,0,0.92
4,"DataSplitting",12,0.0416666666666667,0.92
4,"MultipleDataSplitting",12,0,0.92
4,"Knockoff",12,0.0416666666666667,0.92
4,"Benjamini–Hochberg (BH)",12,0,0.92
5,"Boost DS",12,0.0476190476190476,0.8
5,"Boost MS",12,0,0.8
5,"DataSplitting",12,0.0909090909090909,0.8
5,"MultipleDataSplitting",12,0,0.84
5,"Knockoff",12,0,0.8
5,"Benjamini–Hochberg (BH)",12,0,0.8
6,"Boost DS",12,0.12,0.88
6,"Boost MS",12,0,0.88
6,"DataSplitting",12,0,0.88
6,"MultipleDataSplitting",12,0,0.88
6,"Knockoff",12,0.0434782608695652,0.88
6,"Benjamini–Hochberg (BH)",12,0,0.88
7,"Boost DS",12,0,0.8
7,"Boost MS",12,0,0.76
7,"DataSplitting",12,0.0909090909090909,0.8
7,"MultipleDataSplitting",12,0,0.84
7,"Knockoff",12,0.0454545454545455,0.84
7,"Benjamini–Hochberg (BH)",12,0,0.8
8,"Boost DS",12,0.0434782608695652,0.88
8,"Boost MS",12,0,0.88
8,"DataSplitting",12,0.2,0.96
8,"MultipleDataSplitting",12,0,0.88
8,"Knockoff",12,0.115384615384615,0.92
8,"Benjamini–Hochberg (BH)",12,0,0.88
9,"Boost DS",12,0.0909090909090909,0.8
9,"Boost MS",12,0,0.8
9,"DataSplitting",12,0.0434782608695652,0.88
9,"MultipleDataSplitting",12,0,0.88
9,"Knockoff",12,0,0.92
9,"Benjamini–Hochberg (BH)",12,0,0.84
10,"Boost DS",12,0.08,0.92
10,"Boost MS",12,0,0.88
10,"DataSplitting",12,0.04,0.96
10,"MultipleDataSplitting",12,0,0.96
10,"Knockoff",12,0.166666666666667,1
10,"Benjamini–Hochberg (BH)",12,0,0.96
11,"Boost DS",12,0.0454545454545455,0.84
11,"Boost MS",12,0,0.8
11,"DataSplitting",12,0,0.88
11,"MultipleDataSplitting",12,0,0.88
11,"Knockoff",12,0.185185185185185,0.88
11,"Benjamini–Hochberg (BH)",12,0,0.88
12,"Boost DS",12,0,0.64
12,"Boost MS",12,0,0.76
12,"DataSplitting",12,0,0.76
12,"MultipleDataSplitting",12,0,0.72
12,"Knockoff",12,0.0952380952380952,0.76
12,"Benjamini–Hochberg (BH)",12,0,0.76
13,"Boost DS",12,0.04,0.96
13,"Boost MS",12,0.0384615384615385,1
13,"DataSplitting",12,0.0384615384615385,1
13,"MultipleDataSplitting",12,0,0.92
13,"Knockoff",12,0.0384615384615385,1
13,"Benjamini–Hochberg (BH)",12,0,1
14,"Boost DS",12,0.225806451612903,0.96
14,"Boost MS",12,0.142857142857143,0.96
14,"DataSplitting",12,0,0.96
