"seed","Method","Delta","FDP","Power"
14,"MultipleDataSplitting",12,0,0.96
14,"Knockoff",12,0.04,0.96
14,"Benjamini–Hochberg (BH)",12,0,0.96
15,"Boost DS",12,0,0.92
15,"Boost MS",12,0,0.96
15,"DataSplitting",12,0.0769230769230769,0.96
15,"MultipleDataSplitting",12,0,0.92
15,"Knockoff",12,0,0.96
15,"Benjamini–Hochberg (BH)",12,0,0.96
16,"Boost DS",12,0.178571428571429,0.92
16,"Boost MS",12,0.111111111111111,0.96
16,"DataSplitting",12,0.04,0.96
16,"MultipleDataSplitting",12,0,0.96
16,"Knockoff",12,0.04,0.96
16,"Benjamini–Hochberg (BH)",12,0,0.96
17,"Boost DS",12,0.08,0.92
17,"Boost MS",12,0,0.92
17,"DataSplitting",12,0,0.92
17,"MultipleDataSplitting",12,0.115384615384615,0.92
17,"Knockoff",12,0.0416666666666667,0.92
17,"Benjamini–Hochberg (BH)",12,0,0.92
18,"Boost DS",12,0,0.76
18,"Boost MS",12,0.0434782608695652,0.88
18,"DataSplitting",12,0.0416666666666667,0.92
18,"MultipleDataSplitting",12,0,0.92
18,"Knockoff",12,0,0.92
18,"Benjamini–Hochberg (BH)",12,0,0.88
19,"Boost DS",12,0.08,0.92
19,"Boost MS",12,0,0.96
19,"DataSplitting",12,0.111111111111111,0.96
19,"MultipleDataSplitting",12,0,0.96
19,"Knockoff",12,0.04,0.96
19,"Benjamini–Hochberg (BH)",12,0,0.96
20,"Boost DS",12,0.0833333333333333,0.88
20,"Boost MS",12,0,0.84
20,"DataSplitting",12,0,0.92
20,"MultipleDataSplitting",12,0,0.88
20,"Knockoff",12,0.08,0.92
20,"Benjamini–Hochberg (BH)",12,0,0.92
21,"Boost DS",12,0.25,0.96
21,"Boost MS",12,0.314285714285714,0.96
21,"DataSplitting",12,0.0769230769230769,0.96
21,"MultipleDataSplitting",12,0.0769230769230769,0.96
21,"Knockoff",12,0.0769230769230769,0.96
21,"Benjamini–Hochberg (BH)",12,0,0.96
22,"Boost DS",12,0.0833333333333333,0.88
22,"Boost MS",12,0,0.8
22,"DataSplitting",12,0,0.92
22,"MultipleDataSplitting",12,0.0434782608695652,0.88
22,"Knockoff",12,0,0.92
22,"Benjamini–Hochberg (BH)",12,0,0.88
23,"Boost DS",12,0,0.76
23,"Boost MS",12,0,0.76
23,"DataSplitting",12,0.0869565217391304,0.84
23,"MultipleDataSplitting",12,0,0.84
23,"Knockoff",12,0.0869565217391304,0.84
23,"Benjamini–Hochberg (BH)",12,0,0.84
24,"Boost DS",12,0.258064516129032,0.92
24,"Boost MS",12,0,0.88
24,"DataSplitting",12,0.0833333333333333,0.88
24,"MultipleDataSplitting",12,0.08,0.92
24,"Knockoff",12,0.115384615384615,0.92
24,"Benjamini–Hochberg (BH)",12,0,0.92
25,"Boost DS",12,0.05,0.76
25,"Boost MS",12,0.0909090909090909,0.8
25,"DataSplitting",12,0.0454545454545455,0.84
25,"MultipleDataSplitting",12,0,0.8
25,"Knockoff",12,0.0454545454545455,0.84
25,"Benjamini–Hochberg (BH)",12,0,0.8
26,"Boost DS",12,0.2,0.8
26,"Boost MS",12,0,0.84
26,"DataSplitting",12,0.153846153846154,0.88
26,"MultipleDataSplitting",12,0.0833333333333333,0.88
26,"Knockoff",12,0.0833333333333333,0.88
26,"Benjamini–Hochberg (BH)",12,0,0.84
27,"Boost DS",12,0.0416666666666667,0.92
27,"Boost MS",12,0,0.92
27,"DataSplitting",12,0.111111111111111,0.96
27,"MultipleDataSplitting",12,0.0416666666666667,0.92
27,"Knockoff",12,0.0769230769230769,0.96
27,"Benjamini–Hochberg (BH)",12,0,0.92
28,"Boost DS",12,0.12,0.88
28,"Boost MS",12,0.111111111111111,0.96
28,"DataSplitting",12,0.115384615384615,0.92
28,"MultipleDataSplitting",12,0,0.92
28,"Knockoff",12,0,0.92
28,"Benjamini–Hochberg (BH)",12,0,0.92
29,"Boost DS",12,0.0869565217391304,0.84
29,"Boost MS",12,0,0.8
29,"DataSplitting",12,0.0454545454545455,0.84
29,"MultipleDataSplitting",12,0,0.8
29,"Knockoff",12,0,0.84
29,"Benjamini–Hochberg (BH)",12,0,0.84
30,"Boost DS",12,0.153846153846154,0.88
30,"Boost MS",12,0,0.84
30,"DataSplitting",12,0.0769230769230769,0.96
30,"MultipleDataSplitting",12,0.115384615384615,0.92
30,"Knockoff",12,0.225806451612903,0.96
30,"Benjamini–Hochberg (BH)",12,0,0.88
31,"Boost DS",12,0.185185185185185,0.88
31,"Boost MS",12,0.206896551724138,0.92
31,"DataSplitting",12,0,0.96
31,"MultipleDataSplitting",12,0,0.88
31,"Knockoff",12,0,0.92
31,"Benjamini–Hochberg (BH)",12,0,0.92
32,"Boost DS",12,0.0869565217391304,0.84
32,"Boost MS",12,0,0.8
32,"DataSplitting",12,0,0.84
32,"MultipleDataSplitting",12,0.0454545454545455,0.84
32,"Knockoff",12,0.192307692307692,0.84
32,"Benjamini–Hochberg (BH)",12,0,0.84
33,"Boost DS",12,0,0.72
33,"Boost MS",12,0,0.8
33,"DataSplitting",12,0.0869565217391304,0.84
33,"MultipleDataSplitting",12,0,0.8
33,"Knockoff",12,0.0869565217391304,0.84
33,"Benjamini–Hochberg (BH)",12,0,0.8
34,"Boost DS",12,0,0.92
34,"Boost MS",12,0.148148148148148,0.92
34,"DataSplitting",12,0.0416666666666667,0.92
34,"MultipleDataSplitting",12,0,0.92
34,"Knockoff",12,0.115384615384615,0.92
34,"Benjamini–Hochberg (BH)",12,0,0.92
35,"Boost DS",12,0.193548387096774,1
35,"Boost MS",12,0,0.96
35,"DataSplitting",12,0.21875,1
35,"MultipleDataSplitting",12,0.0384615384615385,1
35,"Knockoff",12,0.0384615384615385,1
35,"Benjamini–Hochberg (BH)",12,0,1
36,"Boost DS",12,0.08,0.92
36,"Boost MS",12,0,0.88
36,"DataSplitting",12,0,0.96
36,"MultipleDataSplitting",12,0,0.92
36,"Knockoff",12,0.111111111111111,0.96
36,"Benjamini–Hochberg (BH)",12,0,0.92
37,"Boost DS",12,0.0833333333333333,0.88
37,"Boost MS",12,0,0.92
37,"DataSplitting",12,0.111111111111111,0.96
37,"MultipleDataSplitting",12,0.0416666666666667,0.92
37,"Knockoff",12,0.111111111111111,0.96
37,"Benjamini–Hochberg (BH)",12,0,0.92
38,"Boost DS",12,0.130434782608696,0.8
38,"Boost MS",12,0.0869565217391304,0.84
38,"DataSplitting",12,0.0434782608695652,0.88
38,"MultipleDataSplitting",12,0.0434782608695652,0.88
38,"Knockoff",12,0.12,0.88
38,"Benjamini–Hochberg (BH)",12,0,0.88
39,"Boost DS",12,0.2,0.8
39,"Boost MS",12,0,0.88
39,"DataSplitting",12,0.0434782608695652,0.88
39,"MultipleDataSplitting",12,0.0434782608695652,0.88
39,"Knockoff",12,0.0833333333333333,0.88
39,"Benjamini–Hochberg (BH)",12,0,0.88
40,"Boost DS",12,0.125,0.84
40,"Boost MS",12,0,0.84
40,"DataSplitting",12,0,0.84
40,"MultipleDataSplitting",12,0,0.84
40,"Knockoff",12,0,0.88
40,"Benjamini–Hochberg (BH)",12,0,0.84
41,"Boost DS",12,0.08,0.92
41,"Boost MS",12,0,0.92
41,"DataSplitting",12,0.08,0.92
41,"MultipleDataSplitting",12,0,0.88
41,"Knockoff",12,0,0.92
41,"Benjamini–Hochberg (BH)",12,0,0.92
42,"Boost DS",12,0,0.8
42,"Boost MS",12,0,0.76
42,"DataSplitting",12,0,0.88
42,"MultipleDataSplitting",12,0,0.84
42,"Knockoff",12,0.0434782608695652,0.88
42,"Benjamini–Hochberg (BH)",12,0,0.88
43,"Boost DS",12,0.04,0.96
43,"Boost MS",12,0,0.92
43,"DataSplitting",12,0.04,0.96
43,"MultipleDataSplitting",12,0,0.88
43,"Knockoff",12,0.04,0.96
43,"Benjamini–Hochberg (BH)",12,0,0.96
44,"Boost DS",12,0.166666666666667,0.8
44,"Boost MS",12,0,0.84
44,"DataSplitting",12,0.0869565217391304,0.84
44,"MultipleDataSplitting",12,0.0454545454545455,0.84
44,"Knockoff",12,0.0454545454545455,0.84
44,"Benjamini–Hochberg (BH)",12,0,0.84
45,"Boost DS",12,0.0434782608695652,0.88
45,"Boost MS",12,0.0434782608695652,0.88
45,"DataSplitting",12,0,0.88
45,"MultipleDataSplitting",12,0,0.88
45,"Knockoff",12,0.0416666666666667,0.92
45,"Benjamini–Hochberg (BH)",12,0,0.88
46,"Boost DS",12,0.0434782608695652,0.88
46,"Boost MS",12,0,0.88
46,"DataSplitting",12,0.115384615384615,0.92
46,"MultipleDataSplitting",12,0,0.88
46,"Knockoff",12,0,0.96
46,"Benjamini–Hochberg (BH)",12,0,0.88
47,"Boost DS",12,0.125,0.84
47,"Boost MS",12,0,0.88
47,"DataSplitting",12,0.0434782608695652,0.88
47,"MultipleDataSplitting",12,0,0.84
47,"Knockoff",12,0,0.88
47,"Benjamini–Hochberg (BH)",12,0,0.88
48,"Boost DS",12,0.28125,0.92
48,"Boost MS",12,0.0416666666666667,0.92
48,"DataSplitting",12,0.08,0.92
48,"MultipleDataSplitting",12,0,0.92
48,"Knockoff",12,0.115384615384615,0.92
48,"Benjamini–Hochberg (BH)",12,0,0.92
49,"Boost DS",12,0.130434782608696,0.8
49,"Boost MS",12,0.0434782608695652,0.88
49,"DataSplitting",12,0,0.88
49,"MultipleDataSplitting",12,0,0.88
49,"Knockoff",12,0.0434782608695652,0.88
49,"Benjamini–Hochberg (BH)",12,0,0.88
50,"Boost DS",12,0.0434782608695652,0.88
50,"Boost MS",12,0.04,0.96
50,"DataSplitting",12,0.04,0.96
50,"MultipleDataSplitting",12,0,0.96
50,"Knockoff",12,0.04,0.96
50,"Benjamini–Hochberg (BH)",12,0,0.96
1,"Boost DS",13,0.08,0.92
1,"Boost MS",13,0,0.92
1,"DataSplitting",13,0.115384615384615,0.92
1,"MultipleDataSplitting",13,0,0.92
1,"Knockoff",13,0.178571428571429,0.92
1,"Benjamini–Hochberg (BH)",13,0,0.92
2,"Boost DS",13,0,0.76
2,"Boost MS",13,0,0.8
2,"DataSplitting",13,0,0.88
2,"MultipleDataSplitting",13,0.12,0.88
2,"Knockoff",13,0.115384615384615,0.92
2,"Benjamini–Hochberg (BH)",13,0,0.88
3,"Boost DS",13,0.153846153846154,0.88
3,"Boost MS",13,0.115384615384615,0.92
3,"DataSplitting",13,0.115384615384615,0.92
3,"MultipleDataSplitting",13,0,0.92
3,"Knockoff",13,0.0416666666666667,0.92
3,"Benjamini–Hochberg (BH)",13,0,0.92
4,"Boost DS",13,0.115384615384615,0.92
4,"Boost MS",13,0,0.92
4,"DataSplitting",13,0.0416666666666667,0.92
4,"MultipleDataSplitting",13,0,0.92
4,"Knockoff",13,0.0416666666666667,0.92
4,"Benjamini–Hochberg (BH)",13,0,0.92
5,"Boost DS",13,0.0476190476190476,0.8
5,"Boost MS",13,0,0.8
5,"DataSplitting",13,0.0869565217391304,0.84
5,"MultipleDataSplitting",13,0,0.8
5,"Knockoff",13,0,0.8
5,"Benjamini–Hochberg (BH)",13,0,0.8
6,"Boost DS",13,0.12,0.88
6,"Boost MS",13,0,0.88
6,"DataSplitting",13,0,0.88
6,"MultipleDataSplitting",13,0,0.88
6,"Knockoff",13,0.0434782608695652,0.88
6,"Benjamini–Hochberg (BH)",13,0,0.88
7,"Boost DS",13,0,0.8
7,"Boost MS",13,0,0.76
7,"DataSplitting",13,0.0909090909090909,0.8
7,"MultipleDataSplitting",13,0,0.84
7,"Knockoff",13,0.0454545454545455,0.84
7,"Benjamini–Hochberg (BH)",13,0,0.84
8,"Boost DS",13,0.0434782608695652,0.88
8,"Boost MS",13,0,0.88
8,"DataSplitting",13,0.25,0.96
8,"MultipleDataSplitting",13,0,0.88
8,"Knockoff",13,0.115384615384615,0.92
8,"Benjamini–Hochberg (BH)",13,0,0.88
9,"Boost DS",13,0.0909090909090909,0.8
9,"Boost MS",13,0,0.84
9,"DataSplitting",13,0.0416666666666667,0.92
9,"MultipleDataSplitting",13,0,0.92
9,"Knockoff",13,0,0.92
9,"Benjamini–Hochberg (BH)",13,0,0.88
10,"Boost DS",13,0.0769230769230769,0.96
10,"Boost MS",13,0,0.92
10,"DataSplitting",13,0.04,0.96
10,"MultipleDataSplitting",13,0,0.96
10,"Knockoff",13,0.166666666666667,1
10,"Benjamini–Hochberg (BH)",13,0,0.96
11,"Boost DS",13,0.0454545454545455,0.84
11,"Boost MS",13,0,0.84
11,"DataSplitting",13,0,0.88
11,"MultipleDataSplitting",13,0.0434782608695652,0.88
11,"Knockoff",13,0.178571428571429,0.92
11,"Benjamini–Hochberg (BH)",13,0,0.88
12,"Boost DS",13,0,0.68
12,"Boost MS",13,0,0.76
12,"DataSplitting",13,0,0.76
12,"MultipleDataSplitting",13,0,0.72
12,"Knockoff",13,0.0952380952380952,0.76
12,"Benjamini–Hochberg (BH)",13,0,0.76
13,"Boost DS",13,0.04,0.96
13,"Boost MS",13,0.0384615384615385,1
13,"DataSplitting",13,0.0740740740740741,1
13,"MultipleDataSplitting",13,0,0.92
13,"Knockoff",13,0.0384615384615385,1
13,"Benjamini–Hochberg (BH)",13,0,1
14,"Boost DS",13,0.272727272727273,0.96
14,"Boost MS",13,0.2,0.96
14,"DataSplitting",13,0,0.96
14,"MultipleDataSplitting",13,0,0.96
14,"Knockoff",13,0.04,0.96
14,"Benjamini–Hochberg (BH)",13,0,0.96
15,"Boost DS",13,0,0.96
15,"Boost MS",13,0,0.96
15,"DataSplitting",13,0.04,0.96
15,"MultipleDataSplitting",13,0,0.92
15,"Knockoff",13,0,0.96
15,"Benjamini–Hochberg (BH)",13,0,0.96
16,"Boost DS",13,0.172413793103448,0.96
16,"Boost MS",13,0.172413793103448,0.96
16,"DataSplitting",13,0.2,0.96
16,"MultipleDataSplitting",13,0.04,0.96
16,"Knockoff",13,0.04,0.96
16,"Benjamini–Hochberg (BH)",13,0,0.96
17,"Boost DS",13,0.08,0.92
17,"Boost MS",13,0,0.92
17,"DataSplitting",13,0,0.92
17,"MultipleDataSplitting",13,0.115384615384615,0.92
17,"Knockoff",13,0.0416666666666667,0.92
17,"Benjamini–Hochberg (BH)",13,0,0.92
18,"Boost DS",13,0,0.8
18,"Boost MS",13,0.0833333333333333,0.88
18,"DataSplitting",13,0.0416666666666667,0.92
18,"MultipleDataSplitting",13,0,0.92
18,"Knockoff",13,0,0.92
18,"Benjamini–Hochberg (BH)",13,0,0.88
19,"Boost DS",13,0.08,0.92
19,"Boost MS",13,0,0.96
19,"DataSplitting",13,0.111111111111111,0.96
19,"MultipleDataSplitting",13,0,0.96
19,"Knockoff",13,0.04,0.96
19,"Benjamini–Hochberg (BH)",13,0.04,0.96
20,"Boost DS",13,0.12,0.88
20,"Boost MS",13,0,0.88
20,"DataSplitting",13,0.0416666666666667,0.92
20,"MultipleDataSplitting",13,0,0.88
20,"Knockoff",13,0.08,0.92
20,"Benjamini–Hochberg (BH)",13,0,0.92
21,"Boost DS",13,0.25,0.96
21,"Boost MS",13,0.333333333333333,0.96
21,"DataSplitting",13,0.04,0.96
21,"MultipleDataSplitting",13,0.0769230769230769,0.96
21,"Knockoff",13,0.0769230769230769,0.96
21,"Benjamini–Hochberg (BH)",13,0,0.96
22,"Boost DS",13,0.0833333333333333,0.88
22,"Boost MS",13,0,0.8
22,"DataSplitting",13,0.2,0.96
22,"MultipleDataSplitting",13,0.0769230769230769,0.96
22,"Knockoff",13,0,0.96
22,"Benjamini–Hochberg (BH)",13,0,0.88
23,"Boost DS",13,0,0.76
23,"Boost MS",13,0,0.8
23,"DataSplitting",13,0.125,0.84
23,"MultipleDataSplitting",13,0,0.84
23,"Knockoff",13,0.0869565217391304,0.84
23,"Benjamini–Hochberg (BH)",13,0,0.84
24,"Boost DS",13,0.233333333333333,0.92
24,"Boost MS",13,0,0.88
24,"DataSplitting",13,0.0769230769230769,0.96
24,"MultipleDataSplitting",13,0.115384615384615,0.92
24,"Knockoff",13,0.115384615384615,0.92
24,"Benjamini–Hochberg (BH)",13,0,0.92
25,"Boost DS",13,0.05,0.76
25,"Boost MS",13,0.0454545454545455,0.84
25,"DataSplitting",13,0.115384615384615,0.92
25,"MultipleDataSplitting",13,0,0.84
25,"Knockoff",13,0.0454545454545455,0.84
25,"Benjamini–Hochberg (BH)",13,0,0.84
26,"Boost DS",13,0.192307692307692,0.84
26,"Boost MS",13,0,0.84
26,"DataSplitting",13,0.0833333333333333,0.88
26,"MultipleDataSplitting",13,0.0833333333333333,0.88
26,"Knockoff",13,0.0833333333333333,0.88
26,"Benjamini–Hochberg (BH)",13,0,0.88
27,"Boost DS",13,0.0416666666666667,0.92
27,"Boost MS",13,0,0.92
27,"DataSplitting",13,0.111111111111111,0.96
27,"MultipleDataSplitting",13,0.0416666666666667,0.92
27,"Knockoff",13,0.0769230769230769,0.96
27,"Benjamini–Hochberg (BH)",13,0,0.96
28,"Boost DS",13,0.12,0.88
28,"Boost MS",13,0.0769230769230769,0.96
28,"DataSplitting",13,0.115384615384615,0.92
28,"MultipleDataSplitting",13,0.0416666666666667,0.92
28,"Knockoff",13,0,0.96
28,"Benjamini–Hochberg (BH)",13,0,0.92
29,"Boost DS",13,0.0833333333333333,0.88
29,"Boost MS",13,0,0.84
29,"DataSplitting",13,0,0.84
29,"MultipleDataSplitting",13,0,0.84
29,"Knockoff",13,0,0.84
29,"Benjamini–Hochberg (BH)",13,0,0.84
30,"Boost DS",13,0.153846153846154,0.88
30,"Boost MS",13,0,0.84
30,"DataSplitting",13,0.04,0.96
30,"MultipleDataSplitting",13,0.115384615384615,0.92
30,"Knockoff",13,0.225806451612903,0.96
30,"Benjamini–Hochberg (BH)",13,0,0.88
31,"Boost DS",13,0,0.88
31,"Boost MS",13,0.148148148148148,0.92
31,"DataSplitting",13,0,0.96
31,"MultipleDataSplitting",13,0,0.88
31,"Knockoff",13,0,0.96
31,"Benjamini–Hochberg (BH)",13,0,0.92
32,"Boost DS",13,0.0869565217391304,0.84
32,"Boost MS",13,0,0.8
32,"DataSplitting",13,0,0.84
32,"MultipleDataSplitting",13,0.0454545454545455,0.84
32,"Knockoff",13,0.192307692307692,0.84
32,"Benjamini–Hochberg (BH)",13,0,0.84
33,"Boost DS",13,0,0.72
33,"Boost MS",13,0,0.8
33,"DataSplitting",13,0.0869565217391304,0.84
33,"MultipleDataSplitting",13,0,0.8
33,"Knockoff",13,0.0833333333333333,0.88
33,"Benjamini–Hochberg (BH)",13,0,0.84
34,"Boost DS",13,0,0.92
34,"Boost MS",13,0.2,0.96
34,"DataSplitting",13,0.0416666666666667,0.92
34,"MultipleDataSplitting",13,0,0.92
34,"Knockoff",13,0.115384615384615,0.92
34,"Benjamini–Hochberg (BH)",13,0,0.92
35,"Boost DS",13,0.166666666666667,1
35,"Boost MS",13,0,0.96
35,"DataSplitting",13,0.166666666666667,1
35,"MultipleDataSplitting",13,0.0740740740740741,1
35,"Knockoff",13,0.0384615384615385,1
35,"Benjamini–Hochberg (BH)",13,0,1
36,"Boost DS",13,0.0416666666666667,0.92
36,"Boost MS",13,0,0.88
36,"DataSplitting",13,0,0.96
36,"MultipleDataSplitting",13,0,0.92
36,"Knockoff",13,0.111111111111111,0.96
36,"Benjamini–Hochberg (BH)",13,0,0.96
37,"Boost DS",13,0.0833333333333333,0.88
37,"Boost MS",13,0,0.96
37,"DataSplitting",13,0.111111111111111,0.96
37,"MultipleDataSplitting",13,0,0.96
37,"Knockoff",13,0.111111111111111,0.96
37,"Benjamini–Hochberg (BH)",13,0,0.96
38,"Boost DS",13,0,0.8
38,"Boost MS",13,0,0.84
38,"DataSplitting",13,0.0434782608695652,0.88
38,"MultipleDataSplitting",13,0.0434782608695652,0.88
38,"Knockoff",13,0.12,0.88
38,"Benjamini–Hochberg (BH)",13,0,0.88
39,"Boost DS",13,0.222222222222222,0.84
39,"Boost MS",13,0,0.88
39,"DataSplitting",13,0.0434782608695652,0.88
39,"MultipleDataSplitting",13,0.0434782608695652,0.88
39,"Knockoff",13,0.0833333333333333,0.88
39,"Benjamini–Hochberg (BH)",13,0,0.88
40,"Boost DS",13,0.125,0.84
40,"Boost MS",13,0,0.84
40,"DataSplitting",13,0,0.84
40,"MultipleDataSplitting",13,0,0.84
40,"Knockoff",13,0,0.88
40,"Benjamini–Hochberg (BH)",13,0,0.84
41,"Boost DS",13,0.08,0.92
41,"Boost MS",13,0,0.92
41,"DataSplitting",13,0.08,0.92
41,"MultipleDataSplitting",13,0,0.88
41,"Knockoff",13,0,0.92
41,"Benjamini–Hochberg (BH)",13,0,0.92
42,"Boost DS",13,0,0.84
42,"Boost MS",13,0,0.8
42,"DataSplitting",13,0,0.88
42,"MultipleDataSplitting",13,0,0.84
42,"Knockoff",13,0.0434782608695652,0.88
42,"Benjamini–Hochberg (BH)",13,0,0.88
43,"Boost DS",13,0.04,0.96
43,"Boost MS",13,0,0.92
43,"DataSplitting",13,0.04,0.96
43,"MultipleDataSplitting",13,0,0.92
43,"Knockoff",13,0,0.96
43,"Benjamini–Hochberg (BH)",13,0,0.96
44,"Boost DS",13,0.285714285714286,0.8
44,"Boost MS",13,0,0.84
44,"DataSplitting",13,0.0869565217391304,0.84
44,"MultipleDataSplitting",13,0.0454545454545455,0.84
44,"Knockoff",13,0.0454545454545455,0.84
44,"Benjamini–Hochberg (BH)",13,0,0.84
45,"Boost DS",13,0.0434782608695652,0.88
45,"Boost MS",13,0,0.88
45,"DataSplitting",13,0,0.92
45,"MultipleDataSplitting",13,0,0.88
45,"Knockoff",13,0.0416666666666667,0.92
45,"Benjamini–Hochberg (BH)",13,0,0.88
46,"Boost DS",13,0.0434782608695652,0.88
46,"Boost MS",13,0,0.88
46,"DataSplitting",13,0.115384615384615,0.92
46,"MultipleDataSplitting",13,0,0.88
46,"Knockoff",13,0,0.96
46,"Benjamini–Hochberg (BH)",13,0,0.88
47,"Boost DS",13,0.125,0.84
47,"Boost MS",13,0,0.88
47,"DataSplitting",13,0.0434782608695652,0.88
47,"MultipleDataSplitting",13,0,0.84
47,"Knockoff",13,0,0.88
47,"Benjamini–Hochberg (BH)",13,0,0.88
48,"Boost DS",13,0.303030303030303,0.92
48,"Boost MS",13,0.115384615384615,0.92
48,"DataSplitting",13,0.08,0.92
48,"MultipleDataSplitting",13,0,0.92
48,"Knockoff",13,0.115384615384615,0.92
48,"Benjamini–Hochberg (BH)",13,0,0.92
49,"Boost DS",13,0.125,0.84
49,"Boost MS",13,0.0434782608695652,0.88
49,"DataSplitting",13,0,0.88
49,"MultipleDataSplitting",13,0,0.88
49,"Knockoff",13,0.0434782608695652,0.88
49,"Benjamini–Hochberg (BH)",13,0,0.88
50,"Boost DS",13,0.0416666666666667,0.92
50,"Boost MS",13,0.04,0.96
50,"DataSplitting",13,0.04,0.96
50,"MultipleDataSplitting",13,0,0.96
50,"Knockoff",13,0.04,0.96
50,"Benjamini–Hochberg (BH)",13,0,0.96
