"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","10","0","1","1.5","1.66"
"LinReg MS","10","0","0.92","1.5","1.66"
"DataSplitting","10","0","1","1.5","1.66"
"MultipleDataSplitting","10","0","0.92","1.5","1.66"
"Knockoff","10","0.137931034482759","1","1.5","1.66"
"BH","10","0","1","1.5","1.66"
