"id","followers_insta","followee_insta","n_posts_insta","followers_twi","followee_twi","n_posts_twi","subs_yt","tot_views_yt","n_videos_yt","year_creation_yt","year_creation_tw","w_h_stream_tw","m_h_stream_tw","t_h_stream_tw","w_d_active_tw","m_d_active_tw","t_d_active_tw","w_followers_gain","m_followers_gain","t_followers_gain","w_peak_viewers","m_peak_viewers","t_peak_viewers","w_views_gain","m_views_gain","t_views_gain","w_h_watched","m_h_watched","t_h_watched","cuncurrent_record_tw","total_h_stream_tw","total_followers_tw","total_views_tw","language_tw","A18flag_tw","mst_cat_h_tw","mst_cat_tot_followers_gained_tw","mst_cat_avg_w_channels","mst_cat_avg_w_viewers","avg_n_cat_per_stream_tw","avg_foll_gained_per_stream_tw","avg_mo_h_tw","avg_tu_h_tw","avg_we_h_tw","avg_th_h_tw","avg_fr_h_tw","avg_sa_h_tw","avg_su_h_tw","avg_mo_foll_gain","avg_tu_foll_gain","avg_we_foll_gain","avg_th_foll_gain","avg_fr_foll_gain","avg_sa_foll_gain","avg_su_foll_gain","tot_active_on_mo","tot_active_on_tu","tot_active_on_we","tot_active_on_th","tot_active_on_fr","tot_active_on_sa","tot_active_on_su","female_flag","_12/21_foll_balance","_11/21_foll_balance","_10/21_foll_balance","_09/21_foll_balance","_08/21_foll_balance","_07/21_foll_balance","_06/21_foll_balance","_05/21_foll_balance","_04/21_foll_balance","_03/21_foll_balance","_02/21_foll_balance","_01/21_foll_balance","_12/20_foll_balance","_11/20_foll_balance","_10/20_foll_balance","_09/20_foll_balance","_08/20_foll_balance","_07/20_foll_balance","_06/20_foll_balance","_05/20_foll_balance","_04/20_foll_balance","_03/20_foll_balance","_02/20_foll_balance","_01/20_foll_balance","_12/21_views","_11/21_views","_10/21_views","_09/21_views","_08/21_views","_07/21_views","_06/21_views","_05/21_views","_04/21_views","_03/21_views","_02/21_views","_01/21_views","_12/20_views","_11/20_views","_10/20_views","_09/20_views","_08/20_views","_07/20_views","_06/20_views","_05/20_views","_04/20_views","_03/20_views","_02/20_views","_01/20_views","avg_w_cunc_tw","avg_m_cunc_tw","avg_t_cunc_tw","avg_views_per_stream_tw"
"A","1400000","284","1187","1500000","354","7491","2530000","664778651","454","2011","2010","19.7","53.8","152","7","22","56","825","3067","7180","1795","2255","2255","22414","72975","202093","19291","57313","156929","6428","2183","409020","5896657","german","0","773","78300","4034","350930","1.2","470","2.4","2.5","2.4","2.4","2.7","3.2","3.5","234","221","256","208","230","355","340","164","150","132","135","118","59","76","0","875","2794","2065","2050","2267","8566","3811","6509","2368","3599","4951","8462","5472","3541","8329","7990","10673","10534","9641","20411","16185","9161","5339","10428","23600","66400","59100.0","74300.0","72300.0","184000.0","98500.0","189000","194000","71800","108000","135000","107000","72700","146000","121000","111000","132000","146000","263000","153000","89800","37100","73300","978","1066","1027","6400"
"B","9840","117","87","9","0","0","735000","218006645","5774","2011","2010","2.2","8.9","28.6","2","8","26","16","671","1836","131","569","640","233","1745","5150","217","2341","6030","881","278","50261","279769","english","0","200","3900","12","115","1.1","206","1.9","2.4","2.3","1.8","1.6","1.3","1.9","31","30","17","33","29","28","39","7","5","6","11","67","68","14","0","131","1131","504","165","307","296","454","372","584","714","954","2141","1514","2114","2143","1941","2120","76","3333","254","297","124","267","257","450","2200","1900.0","1000.0","1300.0","1800.0","1500.0","1800","2500","2400","2900","4000","4100","5400","5100","2300","10800","980","13300","2100","2800","1500","1700","2500","97.5","263","211","730"
"C","1849","4","74","61900","66","1486","87000","3040824","130","2017","2018","3.2","18.8","59.3","2","11","39","172","2072","15105","752","1219","2263","8213","60894","279003","1229","10272","44067","15871","823","259697","2583526","spanish","0","674","169000","4034","350930","1.2","809","2.7","2.6","2.4","2.3","2.1","2.8","2.7","613","600","549","642","531","538","993","49","48","47","47","47","47","42","1","169","3414","6375","7575","2882","17681","1896","13563","4435","15007","8855","8435","10568","5271","5741","44316","34020","28076","20238","10568","10604","0","0","0","11100","75000","96700.0","143000.0","54300.0","65200.0","53000.0","233000","248000","197000","154000","114000","136000","55900","138000","305000","178000","156000","93700","48300","28500","0","0","0","382","547","743","8000"
"D","95928","247","437","65000","484","15800","172000","11955370","256","2017","2016","37.8","157","419","7","25","70","623","2279","9025","2473","2473","4864","158911","486411","1229638","25324","95533","266291","26932","4795","263714","9810573","french","0","1080","58700","6518","130587","2","310","5.6","5.7","5.7","5.5","5.3","6.1","5.8","285","430","290","262","169","347","329","122","131","126","134","114","104","117","1","635","2687","2304","4427","10191","3503","3028","2909","-1582","4816","2436","2374","2095","8941","242","2575","5114","8108","21791","48533","51608","5255","2763","1765","16100","487000","283000.0","409000.0","665000.0","393000.0","424000.0","504000","383000","325000","303000","197000","497000","607000","161000","105000","167000","286000","628000","1130000","499000","92700","65500","65100","671","607","635","11500"
"E","1158","257","1036","1312","536","11000","466","14503","6","2015","2017","28.9","106","199","5","14","27","264","1300","1461","1114","10673","10673","98307","460621","478185","7550","39429","44595","10673","4053","9468","790376","english","0","555","706","4034","350930","2.8","16","5.3","5.9","6.3","6.3","6.3","6.5","6.7","10","9","11","13","11","19","24","78","111","119","116","117","91","24","1","286","1066","57","80","197","147","135","120","-12","68","70","166","296","203","27","652","290","168","262","209","141","186","81","120","99900","364000","6400.0","14100.0","26800.0","9000.0","5600.0","4700","1300","3400","5200","5600","8900","7500","8400","4700","10700","5500","9400","6500","5000","8600","4300","6900","261","369","224","1300"
"F","1000000","388","99","695700","389","53700","11600000","6172546059","10447","2012","2014","4","22.6","83.4","5","16","53","3174","21754","66511","3038","3566","3693","18622","115987","409757","9945","53057","192384","28863","786","1145326","5135309","spanish","0","589","414000","2399","167951","1.7","2635","1.7","1.8","1.9","1.7","1.5","1.7","1.8","1367","1481","1526","1337","1201","1426","1398","68","74","61","71","56","58","68","0","7439","22163","16122","27759","35485","40582","32145","34495","38592","65894","88366","93656","70137","44813","42945","34305","47652","49874","66659","119838","59472","21277","62983","0","27500","125000","110000.0","186000.0","193000.0","188000.0","176000.0","200000","274000","363000","365000","298000","248000","189000","173000","120000","152000","130000","218000","193000","88300","47300","929000","0","2486","2348","2306","11700"
"G","87400","996","923","84900","968","16800","164000","16805933","240","2017","2010","8","146","450","1","22","72","10","-128","3418","2260","12564","31208","8503","616358","2370399","6444","153021","607565","31208","8880","563453","36716119","english","0","4030","236000","4034","350930","1.4","434","6.2","7.1","7.2","7.2","7.2","6.8","6.7","386","333","303","324","321","353","350","179","181","185","181","190","185","184","0","-107","437","1770","1150","1855","13577","3707","6291","-19755","23788","10875","4257","7118","9514","3907","4782","4129","3376","2092","2545","22733","7270","10133","11880","13400","1140000","1020000.0","258000.0","961000.0","439000.0","359000.0","335000","406000","296000","1190000","320000","1210000","419000","689000","1170000","360000","846000","1020000","435000","880000","535000","617000","518000","806","1043","1348","28200"
"H","2582","2274","324","2895","2893","12400","69","1110","25","2016","2017","10.3","45.7","143","5","14","57","74","229","770","1202","1202","1202","41791","124270","336977","3690","15377","38118","23242","3134","27960","3262285","english","0","1675","9800","50","3023","1.3","29","2.7","2.9","2.5","2.8","2.6","2.5","2.6","13","19","16","18","12","13","20","156","213","181","202","187","135","89","0","87","243","187","325","255","219","204","621","1482","300","267","307","291","327","537","1085","1662","323","216","159","521","160","115","118","44000","891000","93500.0","144000.0","94400.0","112000.0","50700.0","704000","693000","9600","9100","11800","7500","7700","8500","11200","557000","7600","6100","7900","105000","5800","4900","5300","359","336","265","3400"
"I","9941","69","18","3645","95","1648","148","65618","31","2016","2016","3.2","11.6","34.6","3","9","26","481","1650","4088","569","764","764","13501","46878","113283","1232","4919","13117","1613","5557","53519","1572763","english","1","2028","65200","4034","350930","1.8","49","4.3","4.5","4.8","4","4.4","5","2.9","62","40","154","37","84","47","37","180","203","205","154","201","201","124","1","550","1406","1668","679","667","535","1856","2481","-3881","8685","816","2749","5885","299","-4274","209","120","369","1016","588","194","11437","632","652","15700","38900","41300.0","28800.0","28900.0","56200.0","113000.0","110000","103000","115000","94200","104000","93900","22600","18500","16900","19700","30500","36700","19100","24500","20400","19800","17600","384","423","379","1400"
"J","39400","1312","59","55700","2107","23500","192000","21907776","104","2020","2015","24.3","179","358","5","22","63","1330","10663","28440","2047","2684","9166","21506","189929","673766","19541","154674","356613","9464","2793","267842","2793603","spanish","0","1730","167000","898","9549","2","485","5","4.8","4.6","4.8","4.4","6","4.8","425","359","394","380","382","444","383","63","81","87","87","80","87","83","0","1511","11717","8691","8943","13730","13050","14487","24957","20763","22755","22922","25710","12519","8376","12617","6313","11352","8222","4950","5259","6925","306","274","-1","25700","194000","381000.0","95300.0","147000.0","176000.0","139000.0","265000","137000","208000","209000","186000","89900","94000","110000","44400","57100","63400","44500","47800","36400","1600","2300","85000","805","861","995","5100"
"K","1100000","414","341","829200","622","17800","1310000","76932168","365","2015","2016","35.9","155","412","6","26","72","7457","43796","173756","9256","34404","34404","428419","2402350","7046895","211312","1000287","2619087","58228","8132","2613175","83159784","spanish","0","2384","478000","2399","167951","1.7","1950","5.9","5.8","5.5","5.3","6","6","5.9","2046","1945","1867","1562","1522","1427","1951","210","215","197","205","195","191","197","1","7702","45990","61188","90945","117013","33060","47175","215649","195682","61814","93449","288176","102493","264769","311522","265540","63831","81886","5479","17988","-9981","6541","38984","20152","451000","2480000","2350000.0","2600000.0","2640000.0","2670000.0","4350000.0","8290000","5960000","3710000","3060000","5010000","2770000","4680000","6530000","3110000","1000000","1120000","516000","669000","484000","427000","346000","436000","5907","6444","6351","61600"
"L","288000","2303","991","65800","1672","10200","31600","567247","18","2013","2014","3.7","11.8","36.4","1","3","10","94","607","1934","374","374","1485","1155","4607","16449","1147","3228","10697","1485","404","23928","164150","english","0","376","9100","736","11888","1","226","3.9","2.7","2.6","3.7","3.1","4.3","4.8","69","68","98","31","73","105","98","8","7","5","7","3","66","4","1","226","776","721","542","1009","3294","0","0","0","0","1965","2273","991","1086","105","1159","581","725","723","737","512","724","656","449","1600","6800","6100.0","3200.0","5500.0","16600.0","0.0","0","0","0","5900","8500","11700","8800","1500","7900","5500","7200","6100","7200","4700","5600","5300","4600","309","272","294","1500"
"M","21800","482","65","2483","46","357","800","228424","70","2020","2019","17.1","78.3","190","5","16","42","53","267","607","491","640","782","15678","70054","193721","4804","23730","60854","3551","1754","79674","2022821","german","1","903","39500","3037","61883","2.4","248","4.8","4.3","4.9","4.8","4.8","4.9","5.7","-219","134","177","83","359","200","604","39","46","58","51","58","43","61","1","47","438","56","83","1098","596","577","-15926","-472","2840","2819","1826","990","868","2291","1340","3660","22647","47639","3672","4","0","-96","2596","17600","68000","64400.0","63600.0","110000.0","69300.0","83300.0","121000","122000","182000","164000","113000","77600","61300","92300","81200","120000","229000","174000","5400","100","100","300","1900","281","303","319","6300"
"N","410","9","11","2362","36","2563","35900","5752941","1201","2019","2019","3","21.6","38","4","22","41","132","3034","3503","973","2886","2886","5545","49195","60735","1399","14740","17941","2886","407","12649","186073","spanish","0","407","12649","4034","350930","1","27","1.1","1.1","1.3","1.2","1","0.9","1.2","6","7","8","9","11","8","7","51","52","53","52","54","43","56","0","221","3007","195","191","578","1054","1116","528","289","240","110","288","715","627","341","847","107","0","206","744","1106","0","0","0","9100","44100","5600.0","4500.0","7700.0","23900.0","18800.0","7500","2100","1900","1600","2800","2400","3900","2400","10700","1600","0","8300","17400","9600","0","0","0","462","682","472","406"
"O","9525","897","206","16600","462","4601","2600","14197","19","2020","2019","24.1","171","557","4","23","73","270","2796","8597","606","945","1241","15697","107515","330135","8953","76938","240649","3721","4655","73771","1769419","english","1","4228","67600","4087","70462","1.4","107","6.8","6.9","7.1","6.7","6.8","5.8","6.9","110","112","106","93","111","78","86","111","106","106","107","97","58","102","1","360","3162","2801","3058","2498","2756","5888","3518","4889","3665","3301","4684","3754","3306","3199","5083","3570","4439","2238","2045","1508","338","1197","454","20000","122000","105000.0","113000.0","90400.0","99000.0","143000.0","107000","133000","106000","89200","103000","80000","68900","74100","78400","49700","49200","30000","28200","21400","8400","7400","8100","371","448","432","2600"
"P","4704","358","975","2712","424","5859","6240","650415","161","2013","2018","7","40.8","109","3","18","49","193","2832","6583","776","13617","13617","9475","523694","1014994","3269","45076","101140","13617","1595","51028","2157994","english","0","1319","42300","1185","28964","1","74","2.3","2.2","2.3","2.1","2.4","2.1","2.4","73","29","54","53","56","69","99","128","41","132","64","133","72","128","1","257","2656","2815","1107","1949","947","1362","573","1898","1553","1971","1215","1659","957","944","1220","1458","682","1499","1050","1121","1750","1401","631","14100","530000","446000.0","36000.0","44500.0","31300.0","40700.0","34900","41100","42100","113000","33600","34500","28300","24600","23300","38000","22800","51800","31800","36100","131000","14600","15500","465","1104","920","3100"
"Q","1752","48","7","37300","743","13500","13800","718884","54","2011","2015","42","153","469","6","22","77","934","3512","11631","11359","12333","18993","155286","656918","2142088","352067","1362748","4197203","28133","9790","287933","18050676","english","1","8603","286000","2399","167951","1.2","217","6.3","5.1","5.6","6.9","6.9","7.3","7.3","223","164","153","230","246","236","335","230","175","230","234","223","206","204","0","895","5013","2741","806","12067","7215","2612","19662","16818","38664","16972","3359","369","2806","1104","2729","3707","4783","1069","769","667","8471","2361","1756","159000","757000","701000.0","696000.0","888000.0","890000.0","1010000.0","1990000","1650000","1270000","585000","341000","305000","311000","291000","242000","305000","324000","147000","159000","193000","154000","274000","236000","8376","8876","8947","13700"
"R","20500","446","49","33100","668","9266","112000","34384309","934","2014","2020","30.6","122","304","7","30","73","934","3330","8501","3583","3583","3583","40247","155520","354954","49075","171595","380858","4400","1822","74067","1694643","french","0","444","12900","126","2159","1.2","148","3.3","3.7","3.7","3.6","3.6","4.9","4.8","110","107","106","94","83","141","148","61","76","77","71","70","61","51","0","1066","3846","3232","1799","6334","11085","3068","4222","3780","3811","2378","2342","1662","1260","1063","1607","2975","3543","5150","2427","3373","3725","0","0","44300","174000","123000.0","49100.0","200000.0","223000.0","58900.0","119000","99400","111000","65500","62900","48800","40200","30500","35300","43200","29100","59000","30600","33600","15200","0","0","1606","1402","1250","3400"
"S","8916","29","46","21800","111","845","38000","12581270","689","2017","2012","44.7","214","634","7","29","90","1099","5502","9073","8477","9415","9415","153134","609778","1582121","125000","497939","1142115","18872","8560","157693","13998904","german","0","8154","135000","3370","124494","1.1","92","6.3","6.4","6.5","6.4","6.8","6.7","6.5","108","125","113","106","106","106","119","198","195","194","189","181","178","182","0","1327","4535","1111","3192","3325","1545","10538","7968","3591","7471","7488","8446","3316","3694","3350","5005","5971","4001","4231","11426","9202","8171","1757","2462","175000","530000","423000.0","622000.0","660000.0","434000.0","1520000.0","1110000","999000","823000","685000","647000","396000","371000","273000","387000","435000","335000","340000","450000","387000","192000","107000","127000","2798","2325","1801","8100"
"T","91300","526","160","155000","642","33000","623000","92506014","714","2013","2013","52.4","230","647","7","29","89","418","2481","9550","3506","7630","8396","146853","688880","2047740","101492","431637","1296799","15091","9156","503990","30913779","french","1","1301","27900","4034","350930","2.5","167","6.1","5.9","6.5","5.9","5.3","6.1","6.7","178","151","164","145","175","173","225","209","218","212","215","219","219","214","0","456","3139","4008","2770","2440","3676","1139","6038","1107","3285","4311","6187","5784","3220","3777","2120","5189","4442","4750","5698","7006","4634","8279","7842","173000","682000","585000.0","741000.0","587000.0","729000.0","298000.0","663000","718000","524000","647000","631000","1010000","644000","652000","514000","792000","618000","766000","839000","689000","534000","296000","602000","1937","1874","2003","15300"
"U","679000","208","337","429700","480","41700","1250000","102261442","388","2015","2013","15.5","95.3","232","4","20","53","1292","10203","75805","1616","3230","15276","55041","474144","1775714","13556","133724","322465","15276","3034","630801","10624631","french","0","893","106000","6619","94848","1.6","711","4","3.8","3.7","3.9","3.9","4.4","4.6","499","488","582","699","595","779","1051","105","118","118","114","116","93","92","1","3820","22917","47220","3371","5359","6862","3436","7090","2975","17576","6614","26239","10180","16618","31199","16699","14797","29655","23154","33905","43107","32161","3864","224943","179000","567000","878000.0","213000.0","228000.0","281000.0","148000.0","173000.0","392000.0","464000.0","81600.0","441000.0","283000.0","280000.0","658000.0","284000.0","336000.0","535000.0","321000.0","629000.0","782000.0","550000.0","41900.0","187000.0","875.0","1403.0","1386.0","12000.0"
"V","447","25","9","7592","218","9790","34700","6933673","814","2011","2013","35.8","168","571","7","30","90","74","674","2824","858","1919","2884","19204","114005","402956","19290","107081","395787","16766","9567","54125","5130042","english","0","9137","43200","52","880","1","28","5.6","5.9","5.1","5.4","5.7","6","4.6","26","31","19","23","25","28","29","260","259","195","259","258","259","256","0","199","868","748","1575","2694","1662","2593","1213","903","523","439","456","580","502","481","759","4476","920","1201","894","571","587","361","257","46500","112000","134000.0","169000.0","189000.0","159000.0","147000.0","125000.0","102000.0","96000.0","77500.0","80700.0","74100.0","72400.0","73200.0","80100.0","149000.0","72300.0","94800.0","95400.0","80500.0","68600.0","56000.0","54800.0","539.0","636.0","692.0","2800"
"W","69300","327","3211","56200","2188","56000","136000","55383715","1603","2017","2016","5.1","26.8","235","2","13","57","23","197","5955","3403","3760","4042","47260","369461","1344011","4562","31198","212636","13299","4767","70952","11203360","english","1","4766","50200","103","8369","1","68","5","4.7","4.3","4.3","4.1","4.6","4.7","79","62","62","32","45","60","79","121","133","138","212","147","180","128","0","80","243","504","5390","427","510","752","870","847","2988","923","393","393","934","1113","1272","421","1186","753","534","2616","176","667","616","120000","420000","449000.0","697000.0","367000.0","496000.0","183000.0","369000.0","639000.0","534000.0","135000.0","64300.0","427000.0","32600.0","35900.0","45300.0","25500.0","63300.0","38300.0","65000.0","110000.0","13100.0","31100.0","20400.0","889.0","1163.0","905.0","10900.0"
"X","33700","634","352","96500","1223","10200","139000","9553246","134","2018","2012","24.9","231","610","3","27","79","377","10950","36471","2455","5509","20580","29541","431729","1474799","34790","441326","1277682","20580","8234","299525","8750662","english","1","6352","267000","4122","59378","1.2","246","6.7","7.2","6.9","7.2","6.7","6.4","6.1","264","262","219","236","231","229","245","178","184","171","182","174","167","168","0","2550","11179","10179","20010","29307","8158","21118","16315","11050","13745","25061","23881","20928","10473","4116","7462","7790","5696","5460","9946","10729","3064","2639","1278","138000","456000","479000.0","672000.0","816000.0","366000.0","558000.0","582000.0","423000.0","479000.0","660000.0","576000.0","384000.0","193000.0","171000.0","194000.0","230000.0","181000.0","178000.0","240000.0","152000.0","50500.0","47000.0","32100.0","1395.0","1905.0","2091.0","7200.0"
"Y","1743","93","3","9011","311","1232","105","1913","3","2017","2017","16.1","78.1","234","4","19","60","2171","12479","178204","2090","3468","3803","105645","622728","1868247","22491","126290","398677","3803","3127","326621","7711592","english","1","2160","309000","55","3587","1.3","464","3.9","5","4.2","4.2","4","4.3","3.1","296","314","254","233","280","1209","20","81","145","98","144","90","134","46","1","4473","16671","7151","156577","18873","18371","29231","16504","9988","13533","2946","4843","3227","742","523","317","472","744","1321","-3447","10972","11251","369","1170","242000","745000","444000.0","799000.0","874000.0","921000.0","1260000.0","715000.0","496000.0","416000.0","114000.0","148000.0","88700.0","30400.0","33000.0","20300.0","26400.0","29400.0","45600.0","41100.0","49000.0","28600.0","17000.0","15100.0","1394.0","1617.0","1699.0","11000.0"
"Z","59100","192","14","271300","61","18600","28500","3378546","162","2012","2015","45.6","165","389","7","30","82","91","508","102","1487","2079","2079","30133","130393","355462","26938","126756","279328","11797","2314","86918","3072762","french","0","2098","108000","118","24866","1","107","3","3","3.5","3.2","3","3.5","3.3","227","127","124","181","108","270","114","88","99","111","95","109","107","108","0","269","103","-220","427","5386","5690","4082","3222","-6834","6884","18887","6219","-4838","1475","4713","4205","1169","1532","2148","1246","1271","6455","13892","2594","61900","117000","99400.0","185000.0","371000.0","178000.0","133000.0","257000.0","369000.0","146000.0","213000.0","132000.0","60800.0","38000.0","86000.0","80100.0","33700.0","46400.0","57800.0","41600.0","65100.0","39200.0","78300.0","49400.0","592.0","766.0","717.0","3800.0"
"ZA","3796","87","153","57500","330","90900","37000","12758759","2674","2015","2015","77.1","266","972","7","23","79","2865","7396","16852","15741","15741","15741","138497","437831","1481747","77068","332214","1133105","15894","8747","142602","28495717","spanish","0","5768","79100","3272","123079","1.4","63","6.4","6.1","5.9","5.8","5.2","5.9","4.3","98","78","93","70","90","62","64","260","263","258","263","259","111","102","0","4794","4938","3329","6203","4558","3047","5107","3718","2152","3120","6276","4515","1859","6291","3119","4349","2681","2186","1715","721","1258","1005","3667","1184","224000","427000","589000.0","417000.0","515000.0","382000.0","462000.0","515000.0","358000.0","404000.0","461000.0","929000.0","812000.0","2460000.0","1350000.0","1340000.0","1130000.0","1250000.0","1220000.0","1330000.0","850000.0","628000.0","368000.0","227000.0","1000.0","1245.0","1166.0","13500.0"
"ZB","1063","39","20","86900","861","7512","14400","177434","35","2014","2012","42.7","167","574","7","26","82","1867","9246","48729","1881","5046","8152","76889","373702","1806900","41035","200243","855259","15328","4117","140140","3687192","english","1","3597","119000","4122","59378","1.1","171","5.7","5.5","5.6","5.5","5.3","5.5","5.2","194","164","142","182","164","154","173","99","105","113","106","103","116","110","0","4112","14564","22247","25640","32211","2171","5952","2174","4914","8719","974","983","1220","1284","2040","1831","3233","1500","538","1241","142","86","243","499","149000","577000","707000.0","883000.0","524000.0","46800.0","111000.0","53700.0","129000.0","155000.0","26400.0","31800.0","31100.0","33100.0","45700.0","34800.0","31900.0","21500.0","11900.0","23100.0","3000.0","2200.0","3300.0","8300.0","961.0","1196.0","1489.0","4500.0"
"ZC","101000","32","120","212900","354","63900","2330000","850332499","5101","2014","2015","29.1","153","456","5","28","86","3199","9822","33840","5787","5787","6720","133614","579840","1897091","96788","370317","1119309","47821","7376","947336","29823088","spanish","0","2392","155000","2063","29053","1.3","656","5.2","4.9","5","5.1","5.2","5.5","5.3","560","611","395","356","380","518","588","197","204","206","197","214","193","216","0","6304","8337","10159","25961","10149","21664","10120","13544","14743","7687","18997","224194","19249","29669","31595","15845","20940","13630","23843","22862","1906","13629","-5921","58620","274000","610000","616000.0","792000.0","629000.0","1060000.0","662000.0","861000.0","1070000.0","777000.0","1500000.0","4860000.0","815000.0","1960000.0","744000.0","473000.0","470000.0","291000.0","473000.0","431000.0","366000.0","1500000.0","299000.0","387000.0","3320.0","2405.0","2451.0","20800.0"
"ZD","282000","111","565","403300","257","71400","544000","173879802","4098","2011","2012","28.5","104","355","4","22","67","296","1356","5366","4662","6965","7343","61486","239601","776395","59196","233614","774131","14477","2131","255442","8607341","german","1","858","16000","2352","169108","2.6","575","2.6","4.4","5.8","3.6","4.7","6.3","4.7","112","328","280","116","436","396","176","55","33","73","54","26","104","94","1","689","1575","2329","1766","2572","1111","1176","1423","5","4443","4089","8805","4528","6192","11238","3056","3183","3774","4249","3924","6755","6837","3008","3585","110000","252000","283000.0","268000.0","269000.0","139000.0","209000.0","367000.0","348000.0","436000.0","436000.0","527000.0","180000.0","243000.0","398000.0","137000.0","136000.0","188000.0","193000.0","205000.0","255000.0","247000.0","167000.0","138000.0","2075.0","2231.0","2178.0","24900.0"
